rank,lemma,pos,total_count,doc_frequency,is_stopword,is_proper_noun
1,the,DET,66286,18,1,0
2,be,AUX,46046,18,1,0
3,and,CCONJ,38155,18,1,0
4,of,ADP,33604,18,1,0
5,a,DET,30231,18,1,0
6,i,PRON,25689,18,1,0
7,in,ADP,20067,18,1,0
8,he,PRON,18469,18,1,0
9,to,PART,18296,18,1,0
10,have,AUX,17564,18,1,0
11,it,PRON,17423,18,1,0
12,to,ADP,11872,18,1,0
13,you,PRON,10418,18,1,0
14,they,PRON,9952,18,1,0
15,with,ADP,9634,18,1,0
16,for,ADP,9496,18,1,0
17,she,PRON,9173,16,1,0
18,that,SCONJ,8752,18,1,0
19,his,PRON,8543,18,1,0
20,not,PART,8327,18,1,0
21,but,CCONJ,7913,18,1,0
22,on,ADP,7215,18,1,0
23,at,ADP,7174,18,1,0
24,do,AUX,6926,18,1,0
25,as,ADP,6905,18,1,0
26,we,PRON,5993,18,1,0
27,my,PRON,5895,18,1,0
28,say,VERB,5444,18,1,0
29,this,DET,4799,18,1,0
30,or,CCONJ,4768,18,1,0
31,by,ADP,4646,18,1,0
32,from,ADP,4445,18,1,0
33,that,DET,4415,18,1,0
34,go,VERB,4265,18,1,0
35,all,DET,4212,18,1,0
36,which,DET,4207,18,1,0
37,when,SCONJ,4039,18,1,0
38,there,PRON,3768,18,1,0
39,would,AUX,3741,18,1,0
40,so,ADV,3665,18,1,0
41,one,NUM,3608,18,1,0
42,an,DET,3574,18,1,0
43,what,PRON,3452,18,1,0
44,if,SCONJ,3409,18,1,0
45,her,PRON,3365,16,1,0
46,out,ADP,3305,18,1,0
47,get,VERB,3291,18,1,0
48,up,ADP,3165,18,1,0
49,that,PRON,3145,18,1,0
50,their,PRON,3132,18,1,0
51,come,VERB,3129,18,0,0
52,could,AUX,3071,18,1,0
53,know,VERB,2928,18,0,0
54,make,VERB,2893,18,1,0
55,see,VERB,2860,18,1,0
56,no,DET,2820,18,1,0
57,man,NOUN,2792,18,0,0
58,who,PRON,2751,18,1,0
59,time,NOUN,2688,18,0,0
60,some,DET,2458,18,1,0
61,then,ADV,2449,18,1,0
62,into,ADP,2446,18,1,0
63,day,NOUN,2423,18,0,0
64,about,ADP,2422,18,1,0
65,can,AUX,2357,18,1,0
66,like,ADP,2297,18,0,0
67,think,VERB,2244,18,0,0
68,any,DET,2131,18,1,0
69,take,VERB,2104,18,1,0
70,only,ADV,2045,18,1,0
71,will,AUX,2043,17,1,0
72,look,VERB,2041,18,0,0
73,even,ADV,1993,18,1,0
74,now,ADV,1987,18,1,0
75,your,PRON,1869,18,1,0
76,thing,NOUN,1857,18,0,0
77,two,NUM,1846,18,1,0
78,than,ADP,1815,18,1,0
79,never,ADV,1782,18,1,0
80,other,ADJ,1723,18,1,0
81,give,VERB,1684,18,1,0
82,very,ADV,1621,18,1,0
83,down,ADP,1591,18,1,0
84,our,PRON,1583,17,1,0
85,little,ADJ,1525,18,0,0
86,good,ADJ,1508,17,0,0
87,way,NOUN,1499,18,0,0
88,after,ADP,1459,17,1,0
89,over,ADP,1456,18,1,0
90,how,SCONJ,1414,18,1,0
91,tell,VERB,1386,18,0,0
92,year,NOUN,1347,18,0,0
93,old,ADJ,1341,18,0,0
94,as,ADV,1292,18,1,0
95,its,PRON,1284,18,1,0
96,find,VERB,1283,17,0,0
97,just,ADV,1263,17,1,0
98,must,AUX,1261,18,1,0
99,too,ADV,1258,18,1,0
100,more,ADJ,1247,18,1,0
101,again,ADV,1246,18,1,0
102,still,ADV,1241,18,1,0
103,where,SCONJ,1232,18,1,0
104,life,NOUN,1226,18,0,0
105,more,ADV,1218,18,1,0
106,seem,VERB,1218,18,1,0
107,back,ADV,1199,18,1,0
108,work,NOUN,1194,18,0,0
109,should,AUX,1191,18,1,0
110,before,ADP,1178,18,1,0
111,always,ADV,1176,18,1,0
112,there,ADV,1171,18,1,0
113,because,SCONJ,1169,18,1,0
114,every,DET,1143,18,1,0
115,all,ADV,1134,18,1,0
116,house,NOUN,1131,18,0,0
117,hand,NOUN,1129,18,0,0
118,people,NOUN,1111,17,0,0
119,away,ADV,1094,18,0,0
120,these,DET,1076,18,1,0
121,great,ADJ,1073,18,0,0
122,well,ADV,1070,18,1,0
123,face,NOUN,1053,16,0,0
124,want,VERB,1052,18,0,0
125,hear,VERB,1048,18,0,0
126,feel,VERB,1024,18,0,0
127,Tom,PROPN,1022,9,0,1
128,might,AUX,1017,18,1,0
129,another,DET,1013,18,1,0
130,word,NOUN,1008,17,0,0
131,through,ADP,1000,18,1,0
132,eye,NOUN,996,18,0,0
133,here,ADV,986,18,1,0
134,keep,VERB,973,18,1,0
135,though,SCONJ,971,17,1,0
136,begin,VERB,959,18,0,0
137,moment,NOUN,955,17,0,0
138,leave,VERB,953,18,0,0
139,those,DET,953,18,1,0
140,without,ADP,951,18,1,0
141,same,ADJ,949,18,1,0
142,call,VERB,939,17,1,0
143,off,ADP,933,18,1,0
144,something,PRON,932,18,1,0
145,ever,ADV,921,18,1,0
146,nothing,PRON,919,18,1,0
147,night,NOUN,919,17,0,0
148,girl,NOUN,910,14,0,0
149,money,NOUN,900,16,0,0
150,upon,SCONJ,897,18,1,0
151,three,NUM,886,16,1,0
152,stand,VERB,882,18,0,0
153,kind,NOUN,874,18,0,0
154,woman,NOUN,870,16,0,0
155,use,VERB,868,18,1,0
156,place,NOUN,863,17,0,0
157,himself,PRON,859,17,1,0
158,own,ADJ,857,18,1,0
159,almost,ADV,857,18,1,0
160,turn,VERB,854,18,0,0
161,put,VERB,848,18,1,0
162,Gordon,PROPN,845,3,0,1
163,do,VERB,841,18,1,0
164,few,ADJ,826,18,1,0
165,such,ADJ,825,18,1,0
166,really,ADV,814,17,1,0
167,why,SCONJ,812,16,1,0
168,let,VERB,811,17,0,0
169,write,VERB,799,17,0,0
170,first,ADJ,799,18,1,0
171,quite,ADV,796,18,1,0
172,long,ADV,786,18,0,0
173,live,VERB,785,17,0,0
174,may,AUX,780,18,1,0
175,sit,VERB,779,15,0,0
176,once,ADV,778,18,1,0
177,under,ADP,775,18,1,0
178,hour,NOUN,771,17,0,0
179,room,NOUN,764,15,0,0
180,happen,VERB,757,18,0,0
181,mean,VERB,740,17,0,0
182,against,ADP,739,18,1,0
183,one,NOUN,735,18,1,0
184,morning,NOUN,735,18,0,0
185,many,ADJ,733,18,1,0
186,anything,PRON,719,18,1,0
187,head,NOUN,717,16,0,0
188,last,ADJ,711,18,1,0
189,shall,AUX,706,17,0,0
190,side,NOUN,704,18,1,0
191,Dorothy,PROPN,701,1,0,1
192,yet,ADV,698,18,1,0
193,talk,VERB,686,16,0,0
194,much,ADV,684,18,1,0
195,long,ADJ,684,18,0,0
196,far,ADV,683,18,1,0
197,book,NOUN,663,16,0,0
198,five,NUM,662,18,1,0
199,child,NOUN,659,17,0,0
200,bad,ADJ,659,18,0,0
201,oh,INTJ,651,15,0,0
202,boy,NOUN,643,15,0,0
203,young,ADJ,639,17,0,0
204,soon,ADV,639,18,0,0
205,mind,NOUN,638,18,0,0
206,ask,VERB,636,18,0,0
207,small,ADJ,628,18,0,0
208,course,NOUN,626,18,0,0
209,perhaps,ADV,623,18,1,0
210,world,NOUN,620,18,0,0
211,speak,VERB,616,17,0,0
212,week,NOUN,614,15,0,0
213,Gutenberg,PROPN,605,11,0,1
214,while,SCONJ,602,17,1,0
215,remember,VERB,602,17,0,0
216,try,VERB,600,18,0,0
217,read,VERB,599,17,0,0
218,Project,PROPN,598,11,0,1
219,believe,VERB,595,17,0,0
220,door,NOUN,590,15,0,0
221,water,NOUN,588,16,0,0
222,friend,NOUN,584,17,0,0
223,much,ADJ,582,18,1,0
224,bring,VERB,580,18,0,0
225,myself,PRON,578,17,1,0
226,sometimes,ADV,577,16,1,0
227,part,NOUN,575,18,1,0
228,between,ADP,573,18,1,0
229,one,PRON,570,16,1,0
230,Flory,PROPN,570,1,0,1
231,Hella,PROPN,567,1,0,1
232,new,ADJ,566,17,0,0
233,foot,NOUN,566,16,0,0
234,voice,NOUN,565,17,0,0
235,also,ADV,562,18,1,0
236,Mr,PROPN,556,6,0,1
237,most,ADV,555,18,1,0
238,end,NOUN,551,18,0,0
239,such,DET,548,17,1,0
240,whole,ADJ,545,18,1,0
241,rather,ADV,545,17,1,0
242,war,NOUN,545,16,0,0
243,well,INTJ,543,15,1,0
244,pay,VERB,540,16,0,0
245,work,VERB,539,17,0,0
