lemma,pos,count,is_stopword,is_proper_noun
be,AUX,3844,1,0
i,PRON,3566,1,0
the,DET,3128,1,0
and,CCONJ,2797,1,0
she,PRON,2354,1,0
a,DET,1846,1,0
have,AUX,1676,1,0
to,PART,1563,1,0
it,PRON,1557,1,0
say,VERB,1329,1,0
to,ADP,1320,1,0
of,ADP,1305,1,0
we,PRON,1302,1,0
in,ADP,1298,1,0
not,PART,1098,1,0
for,ADP,1077,1,0
do,AUX,1068,1,0
but,CCONJ,1041,1,0
he,PRON,1038,1,0
that,SCONJ,887,1,0
you,PRON,708,1,0
go,VERB,706,1,0
with,ADP,674,1,0
that,DET,634,1,0
so,ADV,621,1,0
at,ADP,588,1,0
Hella,PROPN,567,0,1
Dora,PROPN,497,0,1
when,SCONJ,477,1,0
on,ADP,474,1,0
about,ADP,473,1,0
her,PRON,471,1,0
day,NOUN,461,0,0
all,DET,452,1,0
can,AUX,446,1,0
they,PRON,432,1,0
know,VERB,432,0,0
come,VERB,409,0,0
what,PRON,403,1,0
Father,PROPN,385,0,1
then,ADV,377,1,0
one,NUM,374,1,0
really,ADV,370,1,0
Mother,PROPN,357,0,1
would,AUX,355,1,0
as,ADP,349,1,0
get,VERB,335,1,0
if,SCONJ,329,1,0
will,AUX,327,1,0
my,PRON,323,1,0
because,SCONJ,314,1,0
or,CCONJ,310,1,0
tell,VERB,305,0,0
only,ADV,279,1,0
think,VERB,270,0,0
quite,ADV,268,1,0
must,AUX,263,1,0
make,VERB,261,1,0
write,VERB,250,0,0
always,ADV,245,1,0
thing,NOUN,242,0,0
this,DET,239,1,0
see,VERB,233,1,0
time,NOUN,230,0,0
too,ADV,226,1,0
from,ADP,223,1,0
give,VERB,219,1,0
never,ADV,218,1,0
very,ADV,218,1,0
out,ADP,216,1,0
Frau,PROPN,211,0,1
up,ADP,209,1,0
girl,NOUN,206,0,0
want,VERB,205,0,0
anything,PRON,201,1,0
an,DET,198,1,0
look,VERB,195,0,0
there,PRON,190,1,0
could,AUX,187,1,0
shall,AUX,184,0,0
now,ADV,179,1,0
no,DET,178,1,0
should,AUX,176,1,0
any,DET,174,1,0
our,PRON,173,1,0
awfully,ADV,173,0,0
mother,NOUN,163,0,0
well,ADV,161,1,0
all,ADV,161,1,0
like,ADP,160,0,0
take,VERB,159,1,0
his,PRON,159,1,0
one,PRON,157,1,0
Doktor,PROPN,151,0,1
frightfully,ADV,150,0,0
year,NOUN,149,0,0
just,ADV,149,1,0
who,PRON,149,1,0
your,PRON,143,1,0
school,NOUN,139,0,0
one,NOUN,139,1,0
such,DET,138,1,0
still,ADV,137,1,0
other,ADJ,133,1,0
good,ADJ,133,0,0
ask,VERB,133,0,0
why,SCONJ,131,1,0
like,VERB,131,0,0
by,ADP,129,1,0
talk,VERB,128,0,0
Oswald,PROPN,127,0,1
after,ADP,126,1,0
yesterday,NOUN,125,0,0
way,NOUN,123,0,0
that,PRON,120,1,0
before,ADP,118,1,0
how,SCONJ,118,1,0
there,ADV,118,1,0
much,ADV,116,1,0
such,ADJ,113,1,0
little,ADJ,113,0,0
more,ADJ,113,1,0
lesson,NOUN,110,0,0
away,ADV,109,0,0
last,ADJ,107,1,0
something,PRON,107,1,0
two,NUM,106,1,0
call,VERB,105,1,0
mean,VERB,105,0,0
word,NOUN,105,0,0
as,ADV,105,1,0
course,NOUN,105,0,0
Aunt,PROPN,105,0,1
simply,ADV,103,0,0
so,SCONJ,100,1,0
than,ADP,98,1,0
since,SCONJ,98,1,0
another,DET,97,1,0
which,DET,97,1,0
child,NOUN,95,0,0
work,NOUN,95,0,0
Ada,PROPN,95,0,1
lot,NOUN,94,0,0
stay,VERB,94,0,0
some,DET,94,1,0
happen,VERB,94,0,0
even,ADV,92,1,0
again,ADV,91,1,0
every,DET,90,1,0
