lemma,pos,count,is_stopword,is_proper_noun
the,DET,4805,1,0
be,AUX,3220,1,0
and,CCONJ,2907,1,0
of,ADP,2854,1,0
a,DET,2430,1,0
she,PRON,1963,1,0
in,ADP,1525,1,0
to,PART,1484,1,0
it,PRON,1432,1,0
have,AUX,1416,1,0
you,PRON,1214,1,0
i,PRON,1025,1,0
they,PRON,888,1,0
to,ADP,846,1,0
her,PRON,823,1,0
with,ADP,806,1,0
for,ADP,786,1,0
he,PRON,775,1,0
Dorothy,PROPN,701,0,1
that,SCONJ,693,1,0
on,ADP,667,1,0
do,AUX,624,1,0
as,ADP,571,1,0
not,PART,568,1,0
at,ADP,553,1,0
but,CCONJ,516,1,0
get,VERB,462,1,0
say,VERB,434,1,0
go,VERB,393,1,0
his,PRON,384,1,0
that,DET,359,1,0
what,PRON,348,1,0
all,DET,345,1,0
from,ADP,331,1,0
there,PRON,324,1,0
we,PRON,316,1,0
out,ADP,312,1,0
up,ADP,309,1,0
that,PRON,308,1,0
or,CCONJ,307,1,0
would,AUX,306,1,0
this,DET,304,1,0
an,DET,299,1,0
when,SCONJ,289,1,0
could,AUX,273,1,0
so,ADV,270,1,0
by,ADP,263,1,0
come,VERB,261,0,0
their,PRON,258,1,0
one,NUM,257,1,0
Mrs,PROPN,257,0,1
make,VERB,245,1,0
if,SCONJ,241,1,0
your,PRON,240,1,0
no,DET,237,1,0
time,NOUN,234,0,0
about,ADP,228,1,0
know,VERB,209,0,0
my,PRON,208,1,0
which,DET,207,1,0
into,ADP,204,1,0
day,NOUN,203,0,0
even,ADV,201,1,0
some,DET,200,1,0
two,NUM,195,1,0
look,VERB,194,0,0
take,VERB,194,1,0
like,ADP,188,0,0
who,PRON,188,1,0
can,AUX,184,1,0
see,VERB,182,1,0
Mr,PROPN,182,0,1
think,VERB,179,0,0
then,ADV,176,1,0
child,NOUN,170,0,0
down,ADP,168,1,0
thing,NOUN,168,0,0
now,ADV,163,1,0
girl,NOUN,161,0,0
after,ADP,161,1,0
little,ADJ,156,0,0
only,ADV,156,1,0
than,ADP,155,1,0
very,ADV,155,1,0
Creevy,PROPN,145,0,1
give,VERB,141,1,0
Miss,PROPN,136,0,1
any,DET,133,1,0
just,ADV,132,1,0
never,ADV,127,1,0
old,ADJ,127,0,0
seem,VERB,127,1,0
morning,NOUN,126,0,0
good,ADJ,122,0,0
herself,PRON,119,1,0
too,ADV,119,1,0
over,ADP,117,1,0
way,NOUN,116,0,0
back,ADV,115,1,0
more,ADJ,114,1,0
man,NOUN,112,0,0
off,ADP,111,1,0
keep,VERB,111,1,0
as,ADV,110,1,0
woman,NOUN,110,0,0
begin,VERB,109,0,0
how,SCONJ,109,1,0
Warburton,PROPN,109,0,1
again,ADV,106,1,0
will,AUX,105,1,0
people,NOUN,104,0,0
hand,NOUN,103,0,0
Rector,PROPN,102,0,1
school,NOUN,102,0,0
well,INTJ,100,1,0
more,ADV,98,1,0
all,ADV,96,1,0
eye,NOUN,96,0,0
year,NOUN,96,0,0
want,VERB,96,0,0
moment,NOUN,94,0,0
life,NOUN,93,0,0
other,ADJ,93,1,0
though,SCONJ,93,1,0
house,NOUN,93,0,0
always,ADV,92,1,0
night,NOUN,92,0,0
three,NUM,92,1,0
tea,NOUN,91,0,0
face,NOUN,91,0,0
almost,ADV,90,1,0
tell,VERB,90,0,0
through,ADP,88,1,0
before,ADP,87,1,0
quite,ADV,87,1,0
find,VERB,87,0,0
every,DET,87,1,0
hour,NOUN,86,0,0
week,NOUN,86,0,0
hop,NOUN,86,0,0
well,ADV,85,1,0
something,PRON,85,1,0
bad,ADJ,85,0,0
still,ADV,84,1,0
put,VERB,84,1,0
money,NOUN,82,0,0
another,DET,82,1,0
oh,INTJ,82,0,0
Nobby,PROPN,82,0,1
let,VERB,81,0,0
