lemma,pos,count,is_stopword,is_proper_noun
the,DET,2212,1,0
be,AUX,1408,1,0
and,CCONJ,969,1,0
of,ADP,901,1,0
have,AUX,643,1,0
a,DET,619,1,0
in,ADP,540,1,0
they,PRON,503,1,0
to,PART,497,1,0
he,PRON,401,1,0
it,PRON,396,1,0
to,ADP,317,1,0
that,SCONJ,306,1,0
animal,NOUN,303,0,0
his,PRON,272,1,0
for,ADP,264,1,0
on,ADP,244,1,0
with,ADP,231,1,0
at,ADP,211,1,0
their,PRON,197,1,0
not,PART,188,1,0
but,CCONJ,174,1,0
Napoleon,PROPN,168,0,1
as,ADP,163,1,0
all,DET,149,1,0
this,DET,139,1,0
would,AUX,138,1,0
which,DET,132,1,0
from,ADP,129,1,0
by,ADP,127,1,0
Snowball,PROPN,127,0,1
say,VERB,125,1,0
farm,NOUN,120,0,0
there,PRON,118,1,0
when,SCONJ,118,1,0
pig,NOUN,114,0,0
out,ADP,109,1,0
come,VERB,101,0,0
do,AUX,101,1,0
i,PRON,96,1,0
Boxer,PROPN,95,0,1
no,DET,91,1,0
day,NOUN,88,0,0
who,PRON,88,1,0
time,NOUN,88,0,0
now,ADV,85,1,0
Jones,PROPN,82,0,1
that,PRON,79,1,0
we,PRON,79,1,0
you,PRON,78,1,0
up,ADP,77,1,0
go,VERB,76,1,0
could,AUX,76,1,0
an,DET,75,1,0
make,VERB,74,1,0
two,NUM,70,1,0
windmill,NOUN,70,0,0
or,CCONJ,69,1,0
she,PRON,67,1,0
comrade,NOUN,67,0,0
that,DET,67,1,0
Squealer,PROPN,66,0,1
dog,NOUN,62,0,0
see,VERB,61,1,0
other,ADJ,60,1,0
one,NUM,60,1,0
every,DET,59,1,0
even,ADV,57,1,0
Farm,PROPN,56,0,1
then,ADV,56,1,0
down,ADP,56,1,0
some,DET,55,1,0
take,VERB,55,1,0
so,ADV,54,1,0
what,PRON,53,1,0
after,ADP,53,1,0
Animal,PROPN,52,0,1
never,ADV,52,1,0
into,ADP,52,1,0
than,ADP,52,1,0
work,NOUN,51,0,0
