lemma,pos,count,is_stopword,is_proper_noun
the,DET,1046,1,0
be,AUX,904,1,0
of,ADP,740,1,0
and,CCONJ,711,1,0
i,PRON,603,1,0
in,ADP,379,1,0
he,PRON,349,1,0
to,PART,344,1,0
you,PRON,331,1,0
have,AUX,327,1,0
a,DET,298,1,0
not,PART,286,1,0
that,SCONJ,262,1,0
to,ADP,256,1,0
they,PRON,230,1,0
or,CCONJ,215,1,0
for,ADP,158,1,0
this,DET,146,1,0
which,DET,143,1,0
but,CCONJ,137,1,0
if,SCONJ,136,1,0
as,ADP,134,1,0
do,AUX,132,1,0
say,VERB,125,1,0
his,PRON,123,1,0
who,PRON,121,1,0
man,NOUN,118,0,0
my,PRON,117,1,0
with,ADP,116,1,0
will,AUX,115,1,0
by,ADP,113,1,0
any,DET,99,1,0
Gutenberg,PROPN,84,0,1
Project,PROPN,83,0,1
may,AUX,78,1,0
work,NOUN,77,0,0
there,PRON,76,1,0
at,ADP,71,1,0
all,DET,69,1,0
their,PRON,65,1,0
would,AUX,63,1,0
what,PRON,63,1,0
other,ADJ,62,1,0
know,VERB,62,0,0
can,AUX,60,1,0
no,DET,59,1,0
an,DET,59,1,0
death,NOUN,59,0,0
Socrates,PROPN,55,0,1
when,SCONJ,53,1,0
from,ADP,52,1,0
it,PRON,48,1,0
than,ADP,48,1,0
must,AUX,46,1,0
should,AUX,46,1,0
we,PRON,45,1,0
go,VERB,45,1,0
believe,VERB,45,0,0
make,VERB,44,1,0
about,ADP,44,1,0
on,ADP,43,1,0
life,NOUN,42,0,0
then,ADV,42,1,0
Meletus,PROPN,42,0,1
think,VERB,42,0,0
good,ADJ,41,0,0
that,DET,40,1,0
god,NOUN,40,0,0
wise,ADJ,38,0,0
now,ADV,38,1,0
truth,NOUN,36,0,0
one,NUM,36,1,0
word,NOUN,35,0,0
only,ADV,35,1,0
many,ADJ,35,1,0
give,VERB,33,1,0
great,ADJ,33,0,0
your,PRON,33,1,0
speak,VERB,32,0,0
so,ADV,32,1,0
nothing,PRON,31,1,0
law,NOUN,30,0,0
one,NOUN,29,1,0
evil,NOUN,29,0,0
whom,PRON,29,1,0
some,DET,27,1,0
thing,NOUN,27,0,0
never,ADV,27,1,0
Athens,PROPN,27,0,1
electronic,ADJ,27,0,0
Plato,PROPN,26,0,1
wisdom,NOUN,26,0,0
tell,VERB,26,0,0
myself,PRON,26,1,0
defence,NOUN,25,0,0
judge,NOUN,25,0,0
state,NOUN,25,0,0
ask,VERB,25,0,0
son,NOUN,25,0,0
whether,SCONJ,25,1,0
come,VERB,25,0,0
shall,AUX,25,0,0
use,VERB,24,1,0
term,NOUN,24,0,0
appear,VERB,24,0,0
find,VERB,24,0,0
these,DET,24,1,0
hear,VERB,24,0,0
way,NOUN,24,0,0
Foundation,PROPN,24,0,1
another,DET,23,1,0
also,ADV,23,1,0
himself,PRON,23,1,0
because,SCONJ,23,1,0
other,NOUN,23,1,0
might,AUX,22,1,0
youth,NOUN,22,0,0
teach,VERB,22,0,0
own,ADJ,22,1,0
against,ADP,21,1,0
more,ADJ,21,1,0
accuser,NOUN,21,0,0
why,SCONJ,21,1,0
let,VERB,21,0,0
part,NOUN,20,1,0
world,NOUN,20,0,0
same,ADJ,20,1,0
time,NOUN,20,0,0
that,PRON,20,1,0
see,VERB,20,1,0
such,ADJ,20,1,0
God,PROPN,20,0,1
do,VERB,20,1,0
o,INTJ,20,0,0
friend,NOUN,19,0,0
live,VERB,19,0,0
