lemma,pos,count,is_stopword,is_proper_noun
the,DET,5396,1,0
be,AUX,3533,1,0
a,DET,2593,1,0
and,CCONJ,2584,1,0
of,ADP,2388,1,0
he,PRON,2353,1,0
in,ADP,1544,1,0
have,AUX,1519,1,0
it,PRON,1473,1,0
to,PART,1322,1,0
i,PRON,1144,1,0
his,PRON,1122,1,0
she,PRON,1031,1,0
you,PRON,975,1,0
they,PRON,939,1,0
with,ADP,915,1,0
to,ADP,885,1,0
for,ADP,725,1,0
not,PART,656,1,0
at,ADP,603,1,0
that,SCONJ,600,1,0
Flory,PROPN,570,0,1
do,AUX,560,1,0
on,ADP,560,1,0
say,VERB,503,1,0
as,ADP,495,1,0
but,CCONJ,481,1,0
her,PRON,463,1,0
this,DET,415,1,0
go,VERB,376,1,0
come,VERB,375,0,0
from,ADP,369,1,0
that,DET,364,1,0
we,PRON,353,1,0
what,PRON,344,1,0
when,SCONJ,336,1,0
there,PRON,331,1,0
all,DET,330,1,0
like,ADP,326,0,0
Elizabeth,PROPN,323,0,1
would,AUX,316,1,0
their,PRON,308,1,0
up,ADP,292,1,0
so,ADV,289,1,0
out,ADP,281,1,0
an,DET,273,1,0
by,ADP,270,1,0
could,AUX,264,1,0
one,NUM,262,1,0
see,VERB,253,1,0
man,NOUN,253,0,0
that,PRON,247,1,0
Mr,PROPN,243,0,1
into,ADP,240,1,0
make,VERB,235,1,0
get,VERB,233,1,0
look,VERB,231,0,0
who,PRON,217,1,0
my,PRON,212,1,0
no,DET,211,1,0
know,VERB,211,0,0
take,VERB,206,1,0
even,ADV,201,1,0
if,SCONJ,201,1,0
down,ADP,197,1,0
will,AUX,195,1,0
think,VERB,193,0,0
then,ADV,188,1,0
two,NUM,188,1,0
time,NOUN,187,0,0
Club,PROPN,185,0,1
which,DET,183,1,0
can,AUX,179,1,0
face,NOUN,178,0,0
some,DET,176,1,0
only,ADV,175,1,0
or,CCONJ,173,1,0
about,ADP,172,1,0
how,SCONJ,167,1,0
than,ADP,166,1,0
doctor,NOUN,164,0,0
after,ADP,162,1,0
now,ADV,160,1,0
way,NOUN,158,0,0
Lackersteen,PROPN,155,0,1
good,ADJ,151,0,0
back,ADV,149,1,0
very,ADV,149,1,0
never,ADV,148,1,0
Po,PROPN,147,0,1
Kyin,PROPN,146,0,1
Ellis,PROPN,145,0,1
Macgregor,PROPN,140,0,1
your,PRON,136,1,0
here,ADV,129,1,0
woman,NOUN,128,0,0
almost,ADV,127,1,0
U,PROPN,126,0,1
away,ADV,126,0,0
hear,VERB,125,0,0
Verrall,PROPN,124,0,1
over,ADP,123,1,0
give,VERB,123,1,0
hand,NOUN,123,0,0
too,ADV,121,1,0
Ko,PROPN,120,0,1
thing,NOUN,119,0,0
little,ADJ,118,0,0
year,NOUN,115,0,0
turn,VERB,115,0,0
old,ADJ,115,0,0
himself,PRON,114,1,0
white,ADJ,113,0,0
day,NOUN,111,0,0
girl,NOUN,110,0,0
oh,INTJ,109,0,0
stand,VERB,107,0,0
head,NOUN,106,0,0
talk,VERB,106,0,0
moment,NOUN,105,0,0
must,AUX,105,1,0
through,ADP,104,1,0
other,ADJ,104,1,0
those,DET,103,1,0
tell,VERB,103,0,0
again,ADV,103,1,0
any,DET,102,1,0
these,DET,101,1,0
Mrs,PROPN,100,0,1
life,NOUN,99,0,0
as,ADV,97,1,0
sit,VERB,96,0,0
against,ADP,96,1,0
put,VERB,95,1,0
Ma,PROPN,95,0,1
begin,VERB,92,0,0
iss,VERB,92,0,0
call,VERB,91,1,0
house,NOUN,91,0,0
quite,ADV,89,1,0
though,SCONJ,89,1,0
something,PRON,89,1,0
seem,VERB,87,1,0
before,ADP,87,1,0
all,ADV,87,1,0
friend,NOUN,85,0,0
more,ADJ,85,1,0
every,DET,84,1,0
tree,NOUN,83,0,0
evening,NOUN,83,0,0
do,VERB,82,1,0
just,ADV,82,1,0
keep,VERB,81,1,0
bring,VERB,80,0,0
more,ADV,79,1,0
rather,ADV,78,1,0
eye,NOUN,77,0,0
morning,NOUN,77,0,0
black,ADJ,77,0,0
let,VERB,76,0,0
should,AUX,75,1,0
people,NOUN,74,0,0
our,PRON,74,1,0
no,INTJ,74,1,0
jungle,NOUN,74,0,0
leave,VERB,73,0,0
find,VERB,73,0,0
where,SCONJ,73,1,0
long,ADJ,72,0,0
Kyauktada,PROPN,71,0,1
arm,NOUN,71,0,0
behind,ADP,71,1,0
nothing,PRON,71,1,0
Westfield,PROPN,71,0,1
under,ADP,70,1,0
without,ADP,70,1,0
yet,ADV,70,1,0
feel,VERB,70,0,0
want,VERB,70,0,0
ah,INTJ,70,0,0
foot,NOUN,69,0,0
servant,NOUN,69,0,0
why,SCONJ,69,1,0
still,ADV,68,1,0
ever,ADV,68,1,0
shall,AUX,68,0,0
happen,VERB,68,0,0
off,ADP,68,1,0
because,SCONJ,67,1,0
word,NOUN,67,0,0
young,ADJ,67,0,0
bad,ADJ,67,0,0
one,PRON,66,1,0
one,NOUN,66,1,0
well,ADV,66,1,0
once,ADV,65,1,0
room,NOUN,65,0,0
great,ADJ,63,0,0
Hla,PROPN,63,0,1
small,ADJ,62,0,0
always,ADV,62,1,0
Europeans,PROPN,62,0,1
speak,VERB,62,0,0
ask,VERB,61,0,0
mean,VERB,61,0,0
God,PROPN,61,0,1
voice,NOUN,61,0,0
upon,SCONJ,60,1,0
there,ADV,60,1,0
together,ADV,60,1,0
same,ADJ,59,1,0
letter,NOUN,59,0,0
night,NOUN,59,0,0
table,NOUN,58,0,0
such,ADJ,58,1,0
live,VERB,58,0,0
May,PROPN,58,1,1
air,NOUN,57,0,0
other,NOUN,57,1,0
well,INTJ,57,1,0
water,NOUN,57,0,0
yes,INTJ,56,0,0
Burma,PROPN,55,0,1
another,DET,55,1,0
while,SCONJ,55,1,0
veranda,NOUN,54,0,0
send,VERB,54,0,0
Ba,PROPN,54,0,1
walk,VERB,54,0,0
road,NOUN,54,0,0
few,ADJ,52,1,0
yellow,ADJ,52,0,0
shoulder,NOUN,52,0,0
try,VERB,52,0,0
Veraswami,PROPN,52,0,1
bloody,ADJ,52,0,0
four,NUM,51,1,0
its,PRON,51,1,0
place,NOUN,51,0,0
anything,PRON,51,1,0
book,NOUN,50,0,0
chair,NOUN,50,0,0
three,NUM,50,1,0
kind,NOUN,50,0,0
hold,VERB,50,0,0
such,DET,50,1,0
yard,NOUN,50,0,0
week,NOUN,49,0,0
understand,VERB,49,0,0
body,NOUN,49,0,0
Flo,PROPN,49,0,1
across,ADP,49,1,0
watch,VERB,48,0,0
much,ADV,48,1,0
long,ADV,48,0,0
except,SCONJ,48,1,0
perhaps,ADV,48,1,0
last,ADJ,47,1,0
country,NOUN,47,0,0
stop,VERB,47,0,0
far,ADV,46,1,0
towards,ADP,46,1,0
first,ADJ,46,1,0
between,ADP,46,1,0
really,ADV,46,1,0
marry,VERB,46,0,0
poor,ADJ,45,0,0
rupee,NOUN,45,0,0
course,NOUN,45,0,0
money,NOUN,45,0,0
run,VERB,45,0,0
Kin,PROPN,45,0,1
hair,NOUN,45,0,0
butler,NOUN,45,0,0
month,NOUN,44,0,0
own,ADJ,44,1,0
side,NOUN,44,1,0
however,ADV,44,1,0
soon,ADV,44,0,0
already,ADV,44,1,0
boy,NOUN,44,0,0
whole,ADJ,44,1,0
grow,VERB,43,0,0
twenty,NUM,43,1,0
much,ADJ,43,1,0
most,ADV,43,1,0
burmese,ADJ,43,0,0
native,ADJ,43,0,0
skin,NOUN,43,0,0
among,ADP,42,1,0
everyone,PRON,42,1,0
village,NOUN,42,0,0
also,ADV,42,1,0
thought,NOUN,42,0,0
dear,ADJ,42,0,0
right,ADJ,42,0,0
dog,NOUN,42,0,0
please,INTJ,42,1,0
hour,NOUN,41,0,0
believe,VERB,41,0,0
start,VERB,41,0,0
suppose,VERB,41,0,0
lie,VERB,41,0,0
bed,NOUN,41,0,0
large,ADJ,40,0,0
round,ADV,40,0,0
meet,VERB,40,0,0
green,ADJ,39,0,0
remember,VERB,39,0,0
follow,VERB,39,0,0
matter,NOUN,39,0,0
might,AUX,39,1,0
pass,VERB,39,0,0
rebellion,NOUN,39,0,0
wear,VERB,38,0,0
sometimes,ADV,38,1,0
case,NOUN,38,0,0
low,ADJ,38,0,0
mind,NOUN,38,0,0
end,NOUN,38,0,0
wait,VERB,38,0,0
break,VERB,38,0,0
Dr,PROPN,38,0,1
sun,NOUN,38,0,0
flower,NOUN,38,0,0
rain,NOUN,38,0,0
dreadful,ADJ,38,0,0
love,VERB,38,0,0
shoot,VERB,38,0,0
hundred,NUM,37,1,0
gun,NOUN,37,0,0
european,ADJ,37,0,0
English,PROPN,37,0,1
down,ADV,37,1,0
gate,NOUN,37,0,0
fall,VERB,37,0,0
Burmese,PROPN,36,0,1
short,ADJ,36,0,0
five,NUM,36,1,0
sir,NOUN,36,0,0
hot,ADJ,36,0,0
path,NOUN,36,0,0
knee,NOUN,36,0,0
Burmans,PROPN,36,0,1
crowd,NOUN,36,0,0
like,VERB,35,0,0
child,NOUN,35,0,0
minute,NOUN,35,0,0
dark,ADJ,35,0,0
carry,VERB,35,0,0
birthmark,NOUN,35,0,0
heat,NOUN,35,0,0
shake,VERB,35,0,0
master,NOUN,35,0,0
home,NOUN,35,0,0
sahib,NOUN,35,0,0
until,ADP,35,1,0
face,VERB,35,0,0
name,NOUN,34,1,0
etc,X,34,0,0
back,NOUN,34,1,0
dress,VERB,34,0,0
door,NOUN,34,0,0
camp,NOUN,34,0,0
several,ADJ,33,1,0
ten,NUM,33,1,0
new,ADJ,33,0,0
over,ADV,33,1,0
use,VERB,33,1,0
round,VERB,33,0,0
drink,VERB,33,0,0
bazaar,NOUN,32,0,0
lead,VERB,32,0,0
next,ADJ,32,1,0
add,VERB,32,0,0
Maxwell,PROPN,32,0,1
cut,VERB,32,0,0
leopard,NOUN,32,0,0
six,NUM,31,1,0
english,ADJ,31,0,0
stay,VERB,31,0,0
everything,PRON,31,1,0
India,PROPN,31,0,1
big,ADJ,31,0,0
heart,NOUN,31,0,0
else,ADV,30,1,0
most,ADJ,30,1,0
appear,VERB,30,0,0
write,VERB,30,0,0
each,DET,30,1,0
listen,VERB,30,0,0
enough,ADV,30,1,0
bird,NOUN,30,0,0
throw,VERB,30,0,0
notice,NOUN,30,0,0
indian,ADJ,30,0,0
move,VERB,30,1,0
fool,NOUN,30,0,0
suddenly,ADV,30,0,0
dead,ADJ,30,0,0
high,ADJ,29,0,0
fifty,NUM,29,1,0
rise,VERB,29,0,0
official,NOUN,29,0,0
since,SCONJ,29,1,0
simply,ADV,29,0,0
earth,NOUN,29,0,0
answer,VERB,29,0,0
paper,NOUN,29,0,0
have,VERB,29,0,0
set,VERB,29,0,0
wife,NOUN,29,0,0
stick,NOUN,29,0,0
round,ADJ,29,0,0
horse,NOUN,29,0,0
cry,VERB,29,0,0
strike,VERB,29,0,0
pony,NOUN,29,0,0
pay,VERB,28,0,0
full,ADJ,28,1,0
trouble,NOUN,28,0,0
Indians,PROPN,28,0,1
conversation,NOUN,28,0,0
forget,VERB,28,0,0
someone,PRON,28,1,0
fact,NOUN,28,0,0
show,VERB,28,1,0
afraid,ADJ,28,0,0
of,ADV,28,1,0
many,ADJ,27,1,0
Sein,PROPN,27,0,1
only,ADJ,27,1,0
sound,NOUN,27,0,0
shout,VERB,27,0,0
native,NOUN,27,0,0
usual,ADJ,27,0,0
shirt,NOUN,27,0,0
drink,NOUN,27,0,0
idea,NOUN,27,0,0
member,NOUN,27,0,0
clear,ADJ,27,0,0
beater,NOUN,27,0,0
beyond,ADP,26,1,0
probably,ADV,26,0,0
catch,VERB,26,0,0
both,DET,26,1,0
ground,NOUN,26,0,0
police,NOUN,26,0,0
read,VERB,26,0,0
alone,ADV,26,1,0
within,ADP,26,1,0
kill,VERB,26,0,0
river,NOUN,26,0,0
notice,VERB,26,0,0
fellow,NOUN,26,0,0
hardly,ADV,26,0,0
youth,NOUN,26,0,0
outside,ADV,26,0,0
tea,NOUN,26,0,0
out,ADV,26,1,0
anyone,PRON,25,1,0
so,SCONJ,25,1,0
step,NOUN,25,0,0
hurt,VERB,25,0,0
bottle,NOUN,25,0,0
touch,VERB,25,0,0
maidan,PROPN,25,0,1
half,ADJ,25,0,0
school,NOUN,25,0,0
bush,NOUN,25,0,0
till,SCONJ,25,0,0
sweat,NOUN,25,0,0
ought,AUX,25,0,0
herself,PRON,25,1,0
elect,VERB,25,0,0
like,ADJ,25,0,0
well,ADJ,25,1,0
dare,VERB,25,0,0
raise,VERB,25,0,0
leaf,NOUN,25,0,0
light,NOUN,25,0,0
no,ADV,25,1,0
pigeon,NOUN,25,0,0
whom,PRON,24,1,0
noise,NOUN,24,0,0
jail,NOUN,24,0,0
cheek,NOUN,24,0,0
thousand,NUM,24,0,0
possible,ADJ,24,0,0
up,ADV,24,1,0
pull,VERB,24,0,0
order,NOUN,24,0,0
Military,PROPN,24,0,1
hurry,VERB,24,0,0
course,ADV,24,0,0
cigarette,NOUN,24,0,0
world,NOUN,24,0,0
ride,VERB,24,0,0
red,ADJ,23,0,0
later,ADV,23,0,0
chance,NOUN,23,0,0
die,VERB,23,0,0
work,NOUN,23,0,0
rest,NOUN,23,0,0
about,ADV,23,1,0
fire,VERB,23,0,0
angry,ADJ,23,0,0
care,VERB,23,0,0
pale,ADJ,23,0,0
silk,NOUN,23,0,0
hat,NOUN,23,0,0
hill,NOUN,23,0,0
church,NOUN,23,0,0
before,ADV,23,1,0
play,VERB,23,0,0
explain,VERB,23,0,0
home,ADV,23,0,0
drop,VERB,23,0,0
scent,NOUN,23,0,0
train,NOUN,23,0,0
half,DET,22,0,0
work,VERB,22,0,0
reach,VERB,22,0,0
question,NOUN,22,0,0
ruin,VERB,22,0,0
expect,VERB,22,0,0
ago,ADV,22,0,0
stone,NOUN,22,0,0
clothe,NOUN,22,0,0
floor,NOUN,22,0,0
business,NOUN,22,0,0
nigger,NOUN,22,0,0
repeat,VERB,22,0,0
whisky,NOUN,22,0,0
horrible,ADJ,22,0,0
spectacle,NOUN,22,0,0
quarter,NOUN,22,0,0
mile,NOUN,22,0,0
roll,VERB,22,0,0
lay,VERB,22,0,0
neck,NOUN,22,0,0
moon,NOUN,22,0,0
aunt,NOUN,22,0,0
polo,NOUN,22,0,0
naked,ADJ,21,0,0
at,ADV,21,1,0
Rangoon,PROPN,21,0,1
clerk,NOUN,21,0,0
spend,VERB,21,0,0
pagoda,NOUN,21,0,0
subject,NOUN,21,0,0
lip,NOUN,21,0,0
belly,NOUN,21,0,0
leg,NOUN,21,0,0
European,PROPN,21,0,1
wooden,ADJ,21,0,0
learn,VERB,21,0,0
least,ADJ,21,1,0
thirty,NUM,21,0,0
mouth,NOUN,21,0,0
nearly,ADV,21,0,0
tennis,NOUN,21,0,0
beside,ADP,21,1,0
uncle,NOUN,21,0,0
forward,ADV,21,0,0
need,VERB,21,0,0
somehow,ADV,21,1,0
front,NOUN,21,1,0
pukka,NOUN,21,0,0
certain,ADJ,21,0,0
station,NOUN,21,0,0
help,VERB,21,0,0
breast,NOUN,21,0,0
spring,VERB,21,0,0
beat,VERB,21,0,0
struggle,VERB,21,0,0
fat,ADJ,20,0,0
Government,PROPN,20,0,1
honour,NOUN,20,0,0
presently,ADV,20,0,0
mother,NOUN,20,0,0
dinner,NOUN,20,0,0
bamboo,NOUN,20,0,0
refuse,VERB,20,0,0
field,NOUN,20,0,0
right,NOUN,20,0,0
grey,ADJ,20,0,0
Police,PROPN,20,0,1
ice,NOUN,20,0,0
themselves,PRON,20,1,0
point,VERB,20,0,0
Paris,PROPN,20,0,1
enter,VERB,20,0,0
along,ADP,20,1,0
forgive,VERB,20,0,0
drive,VERB,20,0,0
talk,NOUN,20,0,0
true,ADJ,20,0,0
row,NOUN,20,0,0
dance,VERB,20,0,0
scene,NOUN,20,0,0
sepoy,NOUN,20,0,0
earthquake,NOUN,20,0,0
vast,ADJ,19,0,0
Mandalay,PROPN,19,0,1
finally,ADV,19,0,0
arrive,VERB,19,0,0
blood,NOUN,19,0,0
rail,NOUN,19,0,0
cold,ADJ,19,0,0
feeling,NOUN,19,0,0
breakfast,NOUN,19,0,0
pink,ADJ,19,0,0
sight,NOUN,19,0,0
tiny,ADJ,19,0,0
real,ADJ,19,0,0
lose,VERB,19,0,0
England,PROPN,19,0,1
creature,NOUN,19,0,0
brown,ADJ,19,0,0
distance,NOUN,19,0,0
pick,VERB,19,0,0
realize,VERB,19,0,0
lovely,ADJ,19,0,0
death,NOUN,19,0,0
Li,PROPN,19,0,1
Yeik,PROPN,19,0,1
hang,VERB,18,0,0
become,VERB,18,1,0
steal,VERB,18,0,0
job,NOUN,18,0,0
Commissioner,PROPN,18,0,1
officer,NOUN,18,0,0
part,NOUN,18,1,0
step,VERB,18,0,0
headman,NOUN,18,0,0
office,NOUN,18,0,0
gold,NOUN,18,0,0
basket,NOUN,18,0,0
hope,VERB,18,0,0
