lemma,pos,count,is_stopword,is_proper_noun
the,DET,4731,1,0
be,AUX,3079,1,0
and,CCONJ,2989,1,0
i,PRON,2969,1,0
a,DET,2665,1,0
of,ADP,2338,1,0
it,PRON,1565,1,0
in,ADP,1467,1,0
to,PART,1220,1,0
have,AUX,1068,1,0
you,PRON,999,1,0
they,PRON,720,1,0
he,PRON,701,1,0
with,ADP,650,1,0
do,AUX,643,1,0
to,ADP,640,1,0
that,SCONJ,603,1,0
on,ADP,585,1,0
she,PRON,542,1,0
for,ADP,525,1,0
but,CCONJ,521,1,0
get,VERB,502,1,0
at,ADP,481,1,0
my,PRON,442,1,0
as,ADP,436,1,0
go,VERB,432,1,0
we,PRON,402,1,0
up,ADP,383,1,0
that,DET,382,1,0
there,PRON,378,1,0
out,ADP,363,1,0
when,SCONJ,341,1,0
know,VERB,337,0,0
that,PRON,328,1,0
what,PRON,328,1,0
or,CCONJ,320,1,0
his,PRON,315,1,0
about,ADP,312,1,0
like,ADP,310,0,0
all,DET,309,1,0
see,VERB,280,1,0
could,AUX,266,1,0
time,NOUN,260,0,0
thing,NOUN,252,0,0
think,VERB,243,0,0
kind,NOUN,238,0,0
old,ADJ,237,0,0
if,SCONJ,233,1,0
say,VERB,228,1,0
come,VERB,226,0,0
look,VERB,224,0,0
into,ADP,215,1,0
who,PRON,213,1,0
just,ADV,210,1,0
so,ADV,209,1,0
from,ADP,207,1,0
would,AUX,205,1,0
one,NUM,204,1,0
which,DET,195,1,0
even,ADV,192,1,0
make,VERB,188,1,0
an,DET,187,1,0
day,NOUN,187,0,0
some,DET,181,1,0
little,ADJ,173,0,0
this,DET,171,1,0
year,NOUN,169,0,0
then,ADV,166,1,0
never,ADV,164,1,0
use,VERB,162,1,0
by,ADP,159,1,0
can,AUX,159,1,0
way,NOUN,157,0,0
people,NOUN,154,0,0
not,PART,147,1,0
any,DET,147,1,0
down,ADP,144,1,0
always,ADV,140,1,0
no,DET,138,1,0
over,ADP,137,1,0
bit,NOUN,137,0,0
their,PRON,137,1,0
other,ADJ,136,1,0
her,PRON,132,1,0
your,PRON,131,1,0
something,PRON,130,1,0
house,NOUN,128,0,0
good,ADJ,126,0,0
all,ADV,126,1,0
Binfield,PROPN,126,0,1
very,ADV,125,1,0
shop,NOUN,125,0,0
back,ADV,124,1,0
take,VERB,124,1,0
how,SCONJ,124,1,0
those,DET,122,1,0
tell,VERB,122,0,0
same,ADJ,119,1,0
where,SCONJ,117,1,0
life,NOUN,117,0,0
feel,VERB,117,0,0
give,VERB,115,1,0
war,NOUN,112,0,0
seem,VERB,111,1,0
only,ADV,110,1,0
after,ADP,108,1,0
man,NOUN,105,0,0
still,ADV,104,1,0
woman,NOUN,103,0,0
off,ADP,103,1,0
two,NUM,102,1,0
because,SCONJ,102,1,0
as,ADV,99,1,0
happen,VERB,99,0,0
now,ADV,99,1,0
remember,VERB,98,0,0
Hilda,PROPN,98,0,1
than,ADP,98,1,0
chap,NOUN,97,0,0
feeling,NOUN,96,0,0
there,ADV,96,1,0
want,VERB,95,0,0
before,ADP,93,1,0
call,VERB,92,1,0
Father,PROPN,91,0,1
read,VERB,90,0,0
face,NOUN,89,0,0
place,NOUN,88,0,0
really,ADV,87,1,0
ever,ADV,87,1,0
moment,NOUN,84,0,0
though,SCONJ,83,1,0
another,DET,83,1,0
suppose,VERB,83,0,0
too,ADV,82,1,0
boy,NOUN,82,0,0
about,ADV,81,1,0
away,ADV,81,0,0
through,ADP,81,1,0
do,VERB,80,1,0
big,ADJ,80,0,0
fish,NOUN,79,0,0
hear,VERB,78,0,0
course,NOUN,77,0,0
Mother,PROPN,77,0,1
kid,NOUN,76,0,0
start,VERB,76,0,0
turn,VERB,75,0,0
again,ADV,72,1,0
suddenly,ADV,72,0,0
might,AUX,72,1,0
pool,NOUN,72,0,0
leave,VERB,71,0,0
mind,NOUN,70,0,0
myself,PRON,70,1,0
more,ADJ,70,1,0
name,NOUN,69,1,0
sometimes,ADV,69,1,0
end,NOUN,68,0,0
keep,VERB,68,1,0
bad,ADJ,67,0,0
great,ADJ,67,0,0
live,VERB,67,0,0
three,NUM,67,1,0
here,ADV,67,1,0
Joe,PROPN,67,0,1
our,PRON,66,1,0
almost,ADV,66,1,0
of,ADV,66,1,0
under,ADP,66,1,0
fishing,NOUN,66,0,0
why,SCONJ,65,1,0
rather,ADV,65,1,0
town,NOUN,65,0,0
five,NUM,64,1,0
water,NOUN,64,0,0
work,VERB,64,0,0
put,VERB,63,1,0
catch,VERB,63,0,0
nothing,PRON,61,1,0
week,NOUN,61,0,0
long,ADV,61,0,0
fact,NOUN,60,0,0
these,DET,60,1,0
except,SCONJ,60,1,0
book,NOUN,59,0,0
eye,NOUN,59,0,0
stand,VERB,59,0,0
much,ADJ,59,1,0
down,ADV,58,1,0
mean,VERB,58,0,0
job,NOUN,58,0,0
girl,NOUN,57,0,0
fat,ADJ,56,0,0
well,ADV,56,1,0
begin,VERB,56,0,0
young,ADJ,56,0,0
find,VERB,56,0,0
new,ADJ,55,0,0
George,PROPN,54,0,1
behind,ADP,54,1,0
every,DET,54,1,0
probably,ADV,54,0,0
head,NOUN,54,0,0
road,NOUN,54,0,0
hand,NOUN,54,0,0
believe,VERB,54,0,0
smell,NOUN,54,0,0
hair,NOUN,53,0,0
white,ADJ,53,0,0
one,NOUN,52,1,0
quite,ADV,52,1,0
morning,NOUN,51,0,0
try,VERB,51,0,0
run,VERB,51,0,0
more,ADV,51,1,0
grow,VERB,51,0,0
first,ADJ,51,1,0
window,NOUN,50,0,0
anything,PRON,50,1,0
twenty,NUM,50,1,0
Lower,PROPN,50,0,1
