lemma,pos,count,is_stopword,is_proper_noun
the,DET,3735,1,0
be,AUX,2855,1,0
a,DET,2409,1,0
and,CCONJ,2271,1,0
of,ADP,1584,1,0
i,PRON,1423,1,0
in,ADP,1174,1,0
he,PRON,1145,1,0
to,PART,1001,1,0
it,PRON,992,1,0
have,AUX,986,1,0
for,ADP,703,1,0
you,PRON,577,1,0
to,ADP,552,1,0
we,PRON,520,1,0
at,ADP,514,1,0
they,PRON,499,1,0
on,ADP,482,1,0
that,SCONJ,480,1,0
with,ADP,462,1,0
not,PART,435,1,0
his,PRON,409,1,0
but,CCONJ,368,1,0
as,ADP,349,1,0
do,AUX,347,1,0
go,VERB,297,1,0
my,PRON,289,1,0
say,VERB,288,1,0
an,DET,274,1,0
man,NOUN,273,0,0
one,NUM,272,1,0
there,PRON,266,1,0
day,NOUN,254,0,0
from,ADP,236,1,0
this,DET,236,1,0
get,VERB,233,1,0
or,CCONJ,228,1,0
out,ADP,227,1,0
by,ADP,220,1,0
when,SCONJ,218,1,0
up,ADP,215,1,0
would,AUX,211,1,0
all,DET,208,1,0
who,PRON,194,1,0
two,NUM,192,1,0
what,PRON,185,1,0
come,VERB,182,0,0
that,DET,180,1,0
franc,NOUN,177,0,0
could,AUX,174,1,0
like,ADP,163,0,0
make,VERB,163,1,0
she,PRON,161,1,0
tramp,NOUN,156,0,0
then,ADV,152,1,0
some,DET,152,1,0
see,VERB,152,1,0
no,DET,151,1,0
about,ADP,151,1,0
take,VERB,146,1,0
if,SCONJ,144,1,0
time,NOUN,143,0,0
work,NOUN,143,0,0
into,ADP,142,1,0
which,DET,142,1,0
so,ADV,137,1,0
Boris,PROPN,134,0,1
look,VERB,132,0,0
can,AUX,128,1,0
only,ADV,124,1,0
their,PRON,121,1,0
five,NUM,118,1,0
think,VERB,117,0,0
give,VERB,116,1,0
our,PRON,116,1,0
hour,NOUN,115,0,0
than,ADP,112,1,0
know,VERB,112,0,0
down,ADP,109,1,0
that,PRON,107,1,0
thing,NOUN,106,0,0
money,NOUN,106,0,0
work,VERB,104,0,0
good,ADJ,103,0,0
hotel,NOUN,102,0,0
very,ADV,102,1,0
night,NOUN,100,0,0
after,ADP,99,1,0
even,ADV,97,1,0
bed,NOUN,96,0,0
people,NOUN,95,0,0
tell,VERB,94,0,0
one,PRON,94,1,0
waiter,NOUN,94,0,0
bad,ADJ,93,0,0
woman,NOUN,89,0,0
food,NOUN,88,0,0
room,NOUN,87,0,0
hundred,NUM,87,1,0
will,AUX,86,1,0
any,DET,85,1,0
life,NOUN,85,0,0
never,ADV,85,1,0
other,ADJ,84,1,0
old,ADJ,84,0,0
pay,VERB,82,0,0
find,VERB,80,0,0
way,NOUN,79,0,0
nothing,PRON,77,1,0
morning,NOUN,76,0,0
use,VERB,76,1,0
too,ADV,76,1,0
week,NOUN,76,0,0
your,PRON,76,1,0
three,NUM,75,1,0
house,NOUN,71,0,0
job,NOUN,71,0,0
there,ADV,70,1,0
call,VERB,70,1,0
few,ADJ,70,1,0
once,ADV,70,1,0
patron,NOUN,70,0,0
seem,VERB,69,1,0
where,SCONJ,68,1,0
put,VERB,68,1,0
keep,VERB,67,1,0
more,ADJ,67,1,0
bread,NOUN,67,0,0
how,SCONJ,66,1,0
word,NOUN,66,0,0
leave,VERB,66,0,0
ten,NUM,65,1,0
without,ADP,65,1,0
another,DET,65,1,0
off,ADP,65,1,0
restaurant,NOUN,65,0,0
though,SCONJ,64,1,0
as,ADV,64,1,0
sleep,VERB,63,0,0
because,SCONJ,62,1,0
back,ADV,62,1,0
must,AUX,61,1,0
street,NOUN,60,0,0
her,PRON,60,1,0
these,DET,60,1,0
Paris,PROPN,59,0,1
sit,VERB,59,0,0
twenty,NUM,59,1,0
six,NUM,58,1,0
clothe,NOUN,58,0,0
now,ADV,58,1,0
over,ADP,57,1,0
do,VERB,57,1,0
floor,NOUN,56,0,0
four,NUM,56,1,0
talk,VERB,56,0,0
kitchen,NOUN,56,0,0
something,PRON,55,1,0
face,NOUN,55,0,0
before,ADP,55,1,0
away,ADV,55,0,0
every,DET,54,1,0
year,NOUN,54,0,0
