lemma,pos,count,is_stopword,is_proper_noun
the,DET,1332,1,0
of,ADP,801,1,0
be,AUX,765,1,0
and,CCONJ,741,1,0
i,PRON,579,1,0
a,DET,552,1,0
in,ADP,394,1,0
to,PART,321,1,0
to,ADP,295,1,0
have,AUX,238,1,0
you,PRON,203,1,0
as,ADP,195,1,0
not,PART,194,1,0
Flatland,PROPN,187,0,1
that,SCONJ,187,1,0
but,CCONJ,185,1,0
it,PRON,180,1,0
my,PRON,166,1,0
with,ADP,159,1,0
for,ADP,153,1,0
or,CCONJ,147,1,0
he,PRON,142,1,0
by,ADP,132,1,0
his,PRON,121,1,0
at,ADP,118,1,0
from,ADP,106,1,0
one,NUM,100,1,0
which,DET,98,1,0
this,DET,96,1,0
see,VERB,93,1,0
we,PRON,90,1,0
they,PRON,89,1,0
no,DET,89,1,0
so,ADV,86,1,0
an,DET,81,1,0
our,PRON,77,1,0
all,DET,76,1,0
their,PRON,75,1,0
your,PRON,69,1,0
line,NOUN,68,0,0
would,AUX,67,1,0
side,NOUN,66,1,0
on,ADP,65,1,0
say,VERB,65,1,0
if,SCONJ,64,1,0
there,PRON,54,1,0
what,PRON,54,1,0
can,AUX,54,1,0
even,ADV,53,1,0
now,ADV,53,1,0
when,SCONJ,53,1,0
that,DET,52,1,0
class,NOUN,50,0,0
make,VERB,49,1,0
some,DET,49,1,0
more,ADV,48,1,0
that,PRON,47,1,0
two,NUM,47,1,0
must,AUX,46,1,0
then,ADV,45,1,0
will,AUX,45,1,0
ofthe,NOUN,44,0,0
could,AUX,44,1,0
who,PRON,43,1,0
into,ADP,42,1,0
come,VERB,42,0,0
angle,NOUN,42,0,0
Circle,PROPN,42,0,1
how,SCONJ,41,1,0
other,ADJ,40,1,0
more,ADJ,39,1,0
any,DET,38,1,0
every,DET,38,1,0
woman,NOUN,37,0,0
eye,NOUN,36,0,0
do,AUX,36,1,0
than,ADP,36,1,0
feel,VERB,35,0,0
only,ADV,34,1,0
once,ADV,34,1,0
nor,CCONJ,33,1,0
before,ADP,33,1,0
call,VERB,32,1,0
know,VERB,32,0,0
point,NOUN,32,0,0
should,AUX,31,1,0
Isosceles,PROPN,31,0,1
three,NUM,31,1,0
Square,PROPN,30,0,1
inthe,DET,30,0,0
time,NOUN,30,0,0
move,VERB,29,1,0
take,VERB,29,1,0
out,ADP,29,1,0
Circles,PROPN,29,0,1
inch,NOUN,28,0,0
shall,AUX,28,0,0
dimension,NOUN,27,0,0
straight,ADJ,27,0,0
these,DET,27,1,0
she,PRON,27,1,0
e,NOUN,27,0,0
sense,NOUN,26,0,0
find,VERB,26,0,0
Spaceland,PROPN,25,0,1
word,NOUN,25,0,0
high,ADJ,24,0,0
mean,VERB,24,0,0
without,ADP,24,1,0
Space,PROPN,24,0,1
great,ADJ,24,0,0
though,SCONJ,23,1,0
Sphere,PROPN,23,0,1
man,NOUN,23,0,0
nothing,PRON,23,1,0
own,ADJ,23,1,0
such,ADJ,23,1,0
her,PRON,23,1,0
thing,NOUN,22,0,0
sphere,ADV,22,0,0
ofthe,DET,21,0,0
nature,NOUN,21,0,0
