lemma,pos,count,is_stopword,is_proper_noun
the,DET,4389,1,0
i,PRON,3715,1,0
and,CCONJ,3044,1,0
of,ADP,2762,1,0
be,AUX,2600,1,0
my,PRON,1776,1,0
a,DET,1448,1,0
to,PART,1225,1,0
in,ADP,1187,1,0
have,AUX,1123,1,0
to,ADP,951,1,0
he,PRON,833,1,0
with,ADP,714,1,0
but,CCONJ,687,1,0
you,PRON,648,1,0
not,PART,589,1,0
which,DET,565,1,0
it,PRON,562,1,0
that,SCONJ,556,1,0
his,PRON,535,1,0
for,ADP,524,1,0
as,ADP,492,1,0
by,ADP,486,1,0
on,ADP,470,1,0
this,DET,447,1,0
from,ADP,400,1,0
she,PRON,369,1,0
they,PRON,339,1,0
when,SCONJ,329,1,0
at,ADP,326,1,0
that,PRON,298,1,0
do,AUX,271,1,0
your,PRON,261,1,0
her,PRON,259,1,0
or,CCONJ,258,1,0
we,PRON,244,1,0
if,SCONJ,216,1,0
an,DET,216,1,0
all,DET,203,1,0
so,ADV,202,1,0
will,AUX,199,1,0
could,AUX,198,1,0
their,PRON,186,1,0
would,AUX,184,1,0
one,NUM,182,1,0
man,NOUN,179,0,0
that,DET,178,1,0
who,PRON,177,1,0
see,VERB,175,1,0
these,DET,156,1,0
now,ADV,155,1,0
should,AUX,154,1,0
no,DET,153,1,0
can,AUX,153,1,0
some,DET,148,1,0
myself,PRON,136,1,0
feel,VERB,135,0,0
father,NOUN,132,0,0
day,NOUN,131,0,0
our,PRON,130,1,0
say,VERB,130,1,0
upon,SCONJ,128,1,0
its,PRON,126,1,0
friend,NOUN,125,0,0
life,NOUN,124,0,0
into,ADP,124,1,0
eye,NOUN,122,0,0
find,VERB,121,0,0
what,PRON,119,1,0
any,DET,119,1,0
before,ADP,116,1,0
make,VERB,116,1,0
work,NOUN,114,0,0
than,ADP,113,1,0
more,ADV,112,1,0
may,AUX,110,1,0
every,DET,109,1,0
then,ADV,109,1,0
time,NOUN,108,0,0
might,AUX,108,1,0
shall,AUX,107,0,0
know,VERB,106,0,0
own,ADJ,105,1,0
only,ADV,103,1,0
great,ADJ,102,0,0
take,VERB,102,1,0
feeling,NOUN,100,0,0
become,VERB,99,1,0
how,SCONJ,98,1,0
even,ADV,96,1,0
night,NOUN,95,0,0
other,ADJ,94,1,0
towards,ADP,94,1,0
pass,VERB,93,0,0
those,DET,92,1,0
Elizabeth,PROPN,92,0,1
appear,VERB,90,0,0
hear,VERB,88,0,0
mind,NOUN,88,0,0
think,VERB,87,0,0
ever,ADV,85,1,0
heart,NOUN,85,0,0
Gutenberg,PROPN,84,0,1
give,VERB,84,1,0
yet,ADV,84,1,0
Project,PROPN,83,0,1
again,ADV,83,1,0
come,VERB,83,0,0
where,SCONJ,82,1,0
death,NOUN,82,0,0
dear,ADJ,81,0,0
whom,PRON,81,1,0
most,ADV,78,1,0
return,VERB,78,0,0
soon,ADV,75,0,0
must,AUX,74,1,0
place,NOUN,74,0,0
after,ADP,71,1,0
never,ADV,69,1,0
many,ADJ,69,1,0
creature,NOUN,69,0,0
up,ADP,68,1,0
yet,CCONJ,68,1,0
also,ADV,68,1,0
still,ADV,68,1,0
while,SCONJ,68,1,0
such,ADJ,67,1,0
during,ADP,67,1,0
remain,VERB,67,0,0
word,NOUN,67,0,0
thus,ADV,66,1,0
being,NOUN,66,1,0
enter,VERB,66,0,0
spirit,NOUN,65,0,0
same,ADJ,64,1,0
hand,NOUN,64,0,0
very,ADV,63,1,0
misery,NOUN,63,0,0
miserable,ADJ,63,0,0
country,NOUN,62,0,0
few,ADJ,62,1,0
leave,VERB,61,0,0
sometimes,ADV,60,1,0
go,VERB,60,1,0
scene,NOUN,60,0,0
hour,NOUN,59,0,0
Clerval,PROPN,59,0,1
look,VERB,58,0,0
there,PRON,57,1,0
like,ADP,57,0,0
human,ADJ,57,0,0
first,ADJ,56,1,0
thought,NOUN,56,0,0
often,ADV,56,1,0
indeed,ADV,56,1,0
mountain,NOUN,56,0,0
discover,VERB,55,0,0
old,ADJ,55,0,0
cottage,NOUN,55,0,0
Justine,PROPN,55,0,1
over,ADP,54,1,0
power,NOUN,54,0,0
child,NOUN,54,0,0
more,ADJ,54,1,0
moment,NOUN,54,0,0
little,ADJ,53,0,0
year,NOUN,53,0,0
die,VERB,53,0,0
live,VERB,53,0,0
although,SCONJ,53,1,0
several,ADJ,52,1,0
hope,NOUN,52,0,0
until,ADP,52,1,0
nature,NOUN,52,0,0
first,ADV,52,1,0
believe,VERB,52,0,0
love,VERB,52,0,0
among,ADP,51,1,0
horror,NOUN,51,0,0
whose,DET,50,1,0
voice,NOUN,50,0,0
manner,NOUN,50,0,0
happy,ADJ,50,0,0
Felix,PROPN,50,0,1
endeavour,VERB,49,0,0
happiness,NOUN,49,0,0
destroy,VERB,49,0,0
month,NOUN,48,0,0
affection,NOUN,48,0,0
world,NOUN,47,0,0
joy,NOUN,47,0,0
another,DET,47,1,0
countenance,NOUN,47,0,0
idea,NOUN,47,0,0
part,NOUN,46,1,0
away,ADV,46,0,0
seem,VERB,46,1,0
through,ADP,46,1,0
as,ADV,46,1,0
speak,VERB,46,0,0
seek,VERB,46,0,0
long,ADV,46,0,0
sun,NOUN,45,0,0
well,ADV,45,1,0
ice,NOUN,45,0,0
good,ADJ,44,0,0
possess,VERB,44,0,0
sensation,NOUN,44,0,0
continue,VERB,44,0,0
arrive,VERB,43,0,0
despair,NOUN,43,0,0
house,NOUN,43,0,0
chapter,NOUN,42,0,0
endure,VERB,42,0,0
poor,ADJ,42,0,0
quit,VERB,42,0,0
companion,NOUN,42,0,0
far,ADV,41,1,0
letter,NOUN,41,0,0
follow,VERB,41,0,0
new,ADJ,41,0,0
almost,ADV,40,1,0
light,NOUN,40,0,0
begin,VERB,40,0,0
soul,NOUN,40,0,0
lose,VERB,40,0,0
call,VERB,40,1,0
young,ADJ,40,0,0
nothing,PRON,39,1,0
turn,VERB,39,0,0
perceive,VERB,39,0,0
out,ADP,39,1,0
wish,VERB,39,0,0
pleasure,NOUN,39,0,0
without,ADP,38,1,0
two,NUM,38,1,0
behold,VERB,38,0,0
wood,NOUN,38,0,0
sink,VERB,38,0,0
sea,NOUN,37,0,0
himself,PRON,37,1,0
therefore,ADV,37,1,0
morning,NOUN,37,0,0
fear,VERB,37,0,0
sound,NOUN,37,0,0
resolve,VERB,36,0,0
love,NOUN,36,0,0
degree,NOUN,36,0,0
draw,VERB,36,0,0
earth,NOUN,36,0,0
Geneva,PROPN,36,0,1
form,NOUN,36,0,0
here,ADV,35,1,0
remember,VERB,35,0,0
allow,VERB,35,0,0
gentle,ADJ,35,0,0
nor,CCONJ,35,1,0
receive,VERB,35,0,0
why,SCONJ,35,1,0
within,ADP,35,1,0
pursue,VERB,35,0,0
express,VERB,35,0,0
alone,ADV,35,1,0
journey,NOUN,35,0,0
fill,VERB,34,0,0
delight,NOUN,34,0,0
wind,NOUN,34,0,0
learn,VERB,34,0,0
strange,ADJ,34,0,0
appearance,NOUN,34,0,0
before,ADV,34,1,0
state,NOUN,34,0,0
tale,NOUN,34,0,0
suffer,VERB,34,0,0
reflect,VERB,34,0,0
already,ADV,33,1,0
render,VERB,33,0,0
read,VERB,33,0,0
down,ADP,33,1,0
desire,VERB,33,0,0
dare,VERB,33,0,0
however,ADV,33,1,0
room,NOUN,33,0,0
knowledge,NOUN,33,0,0
family,NOUN,33,0,0
rise,VERB,33,0,0
mother,NOUN,33,0,0
fiend,NOUN,33,0,0
understand,VERB,32,0,0
object,NOUN,32,0,0
labour,NOUN,32,0,0
bring,VERB,32,0,0
fall,VERB,32,0,0
misfortune,NOUN,32,0,0
full,ADJ,32,1,0
monster,NOUN,32,0,0
under,ADP,31,1,0
sight,NOUN,31,0,0
visit,VERB,31,0,0
last,ADJ,31,1,0
fix,VERB,31,0,0
name,NOUN,31,1,0
spend,VERB,31,0,0
tear,NOUN,31,0,0
nearly,ADV,31,0,0
existence,NOUN,31,0,0
cause,NOUN,31,0,0
peace,NOUN,31,0,0
lake,NOUN,31,0,0
enemy,NOUN,31,0,0
Frankenstein,PROPN,30,0,1
term,NOUN,30,0,0
law,NOUN,30,0,0
Chapter,PROPN,30,0,1
beauty,NOUN,30,0,0
study,NOUN,30,0,0
place,VERB,30,0,0
town,NOUN,30,0,0
too,ADV,30,1,0
bestow,VERB,30,0,0
air,NOUN,30,0,0
passion,NOUN,30,0,0
event,NOUN,30,0,0
create,VERB,30,0,0
fear,NOUN,29,0,0
near,ADP,29,0,0
reflection,NOUN,29,0,0
science,NOUN,29,0,0
brother,NOUN,29,0,0
reply,VERB,29,0,0
observe,VERB,29,0,0
grief,NOUN,29,0,0
let,VERB,29,0,0
listen,VERB,29,0,0
crime,NOUN,29,0,0
weep,VERB,29,0,0
walk,VERB,28,0,0
dream,NOUN,28,0,0
oh,INTJ,28,0,0
girl,NOUN,28,0,0
once,ADV,28,1,0
throw,VERB,28,0,0
woman,NOUN,28,0,0
sit,VERB,28,0,0
about,ADP,28,1,0
yourself,PRON,28,1,0
each,DET,28,1,0
beautiful,ADJ,28,0,0
agony,NOUN,28,0,0
water,NOUN,28,0,0
cold,ADJ,27,0,0
thousand,NUM,27,0,0
bear,VERB,27,0,0
since,SCONJ,27,1,0
proceed,VERB,27,0,0
kindness,NOUN,27,0,0
occupy,VERB,27,0,0
rather,ADV,27,1,0
care,NOUN,27,0,0
lie,VERB,27,0,0
whole,ADJ,27,1,0
ask,VERB,27,0,0
concern,VERB,27,0,0
length,NOUN,27,0,0
desire,NOUN,27,0,0
hardly,ADV,27,0,0
murderer,NOUN,27,0,0
electronic,ADJ,27,0,0
sister,NOUN,26,0,0
imagination,NOUN,26,0,0
there,ADV,26,1,0
various,ADJ,26,1,0
long,ADJ,26,0,0
other,NOUN,26,1,0
quickly,ADV,26,0,0
change,NOUN,26,0,0
suddenly,ADV,26,0,0
attention,NOUN,26,0,0
enjoy,VERB,26,0,0
lovely,ADJ,26,0,0
Henry,PROPN,26,0,1
fire,NOUN,26,0,0
form,VERB,26,0,0
food,NOUN,26,0,0
language,NOUN,25,0,0
body,NOUN,25,0,0
native,ADJ,25,0,0
cousin,NOUN,25,0,0
step,NOUN,25,0,0
such,DET,25,1,0
person,NOUN,25,0,0
have,VERB,25,0,0
high,ADJ,25,0,0
about,ADV,25,1,0
ground,NOUN,25,0,0
stranger,NOUN,25,0,0
restore,VERB,25,0,0
much,ADV,25,1,0
lead,VERB,25,0,0
dark,ADJ,25,0,0
tell,VERB,25,0,0
face,NOUN,25,0,0
head,NOUN,25,0,0
door,NOUN,25,0,0
tree,NOUN,25,0,0
free,ADJ,25,0,0
William,PROPN,25,0,1
approach,VERB,25,0,0
move,VERB,25,1,0
Safie,PROPN,25,0,1
surround,VERB,24,0,0
discovery,NOUN,24,0,0
path,NOUN,24,0,0
engage,VERB,24,0,0
meet,VERB,24,0,0
circumstance,NOUN,24,0,0
kind,NOUN,24,0,0
write,VERB,24,0,0
relate,VERB,24,0,0
sweet,ADJ,24,0,0
natural,ADJ,24,0,0
pain,NOUN,24,0,0
always,ADV,24,1,0
wretch,NOUN,24,0,0
rage,NOUN,24,0,0
cottager,NOUN,24,0,0
Foundation,PROPN,24,0,1
present,ADJ,23,0,0
overcome,VERB,23,0,0
sympathy,NOUN,23,0,0
watch,VERB,23,0,0
around,ADP,23,1,0
provide,VERB,23,0,0
set,VERB,23,0,0
revenge,NOUN,23,0,0
itself,PRON,22,1,0
creation,NOUN,22,0,0
obtain,VERB,22,0,0
one,NOUN,22,1,0
true,ADJ,22,0,0
describe,VERB,22,0,0
way,NOUN,22,0,0
God,PROPN,22,0,1
duty,NOUN,22,0,0
deep,ADJ,22,0,0
seize,VERB,22,0,0
thing,NOUN,22,0,0
hope,VERB,22,0,0
sorrow,NOUN,22,0,0
only,ADJ,22,1,0
dead,ADJ,22,0,0
unable,ADJ,22,0,0
murder,VERB,22,0,0
anguish,NOUN,22,0,0
Agatha,PROPN,22,0,1
England,PROPN,21,0,1
wonder,NOUN,21,0,0
purpose,NOUN,21,0,0
account,NOUN,21,0,0
history,NOUN,21,0,0
consider,VERB,21,0,0
depart,VERB,21,0,0
pay,VERB,21,0,0
perhaps,ADV,21,1,0
youth,NOUN,21,0,0
conceive,VERB,21,0,0
shore,NOUN,21,0,0
beloved,ADJ,21,0,0
end,NOUN,21,0,0
rest,VERB,21,0,0
destruction,NOUN,21,0,0
deeply,ADV,21,0,0
smile,NOUN,21,0,0
rest,NOUN,21,0,0
Victor,PROPN,21,0,1
open,VERB,21,0,0
cause,VERB,21,0,0
subject,NOUN,21,0,0
against,ADP,21,1,0
gain,VERB,21,0,0
moon,NOUN,21,0,0
murder,NOUN,21,0,0
vengeance,NOUN,21,0,0
spot,NOUN,21,0,0
cloud,NOUN,21,0,0
promise,NOUN,20,0,0
persuade,VERB,20,0,0
land,NOUN,20,0,0
sufficient,ADJ,20,0,0
much,ADJ,20,1,0
vessel,NOUN,20,0,0
answer,VERB,20,0,0
between,ADP,20,1,0
cease,VERB,20,0,0
fellow,NOUN,20,0,0
exclaim,VERB,20,0,0
attend,VERB,20,0,0
prepare,VERB,20,0,0
conversation,NOUN,20,0,0
retire,VERB,20,0,0
mean,NOUN,20,0,0
entirely,ADV,20,0,0
virtue,NOUN,20,0,0
distribute,VERB,20,0,0
different,ADJ,20,0,0
victim,NOUN,20,0,0
creator,NOUN,20,0,0
cover,VERB,20,0,0
use,VERB,19,1,0
task,NOUN,19,0,0
put,VERB,19,1,0
snow,NOUN,19,0,0
expect,VERB,19,0,0
voyage,NOUN,19,0,0
commence,VERB,19,0,0
boat,NOUN,19,0,0
suppose,VERB,19,0,0
blood,NOUN,19,0,0
easily,ADV,19,0,0
collect,VERB,19,0,0
none,NOUN,19,1,0
plan,NOUN,19,0,0
pursuit,NOUN,19,0,0
bind,VERB,19,0,0
progress,NOUN,19,0,0
perform,VERB,19,0,0
dæmon,NOUN,19,0,0
health,NOUN,19,0,0
unhappy,ADJ,19,0,0
direct,VERB,19,0,0
innocent,ADJ,19,0,0
occupation,NOUN,19,0,0
son,NOUN,19,0,0
no,ADV,19,1,0
alas,INTJ,19,0,0
tear,VERB,19,0,0
produce,VERB,19,0,0
wretched,ADJ,19,0,0
wander,VERB,19,0,0
bitter,ADJ,19,0,0
copyright,NOUN,19,0,0
include,VERB,18,0,0
increase,VERB,18,0,0
try,VERB,18,0,0
present,VERB,18,0,0
calm,ADJ,18,0,0
foot,NOUN,18,0,0
courage,NOUN,18,0,0
fail,VERB,18,0,0
necessary,ADJ,18,0,0
book,NOUN,18,0,0
because,SCONJ,18,1,0
consolation,NOUN,18,0,0
fate,NOUN,18,0,0
promise,VERB,18,0,0
continually,ADV,18,0,0
side,NOUN,18,1,0
break,VERB,18,0,0
afford,VERB,18,0,0
small,ADJ,18,0,0
lip,NOUN,18,0,0
memory,NOUN,18,0,0
course,NOUN,18,0,0
procure,VERB,18,0,0
heaven,NOUN,18,0,0
departure,NOUN,18,0,0
comply,VERB,18,0,0
extreme,ADJ,18,0,0
return,NOUN,18,0,0
hide,VERB,18,0,0
innocence,NOUN,18,0,0
agreement,NOUN,18,0,0
assure,VERB,17,0,0
just,ADV,17,1,0
river,NOUN,17,0,0
secret,NOUN,17,0,0
sleep,NOUN,17,0,0
period,NOUN,17,0,0
evil,NOUN,17,0,0
wonderful,ADJ,17,0,0
something,PRON,17,1,0
suffering,NOUN,17,0,0
expression,NOUN,17,0,0
across,ADP,17,1,0
burn,VERB,17,0,0
determine,VERB,17,0,0
future,ADJ,17,0,0
hasten,VERB,17,0,0
change,VERB,17,0,0
afterwards,ADV,17,1,0
arise,VERB,17,0,0
forget,VERB,17,0,0
gaze,VERB,17,0,0
short,ADJ,17,0,0
forth,ADV,17,0,0
most,ADJ,16,1,0
information,NOUN,16,0,0
regard,VERB,16,1,0
solitude,NOUN,16,0,0
danger,NOUN,16,0,0
early,ADJ,16,0,0
branch,NOUN,16,0,0
do,VERB,16,1,0
commit,VERB,16,0,0
self,NOUN,16,0,0
age,NOUN,16,0,0
union,NOUN,16,0,0
instantly,ADV,16,0,0
support,VERB,16,0,0
recover,VERB,16,0,0
pause,VERB,16,0,0
agree,VERB,16,0,0
sky,NOUN,16,0,0
bed,NOUN,16,0,0
home,NOUN,16,0,0
Ingolstadt,PROPN,16,0,1
descend,VERB,16,0,0
black,ADJ,16,0,0
awake,VERB,16,0,0
instrument,NOUN,16,0,0
darkness,NOUN,16,0,0
rain,NOUN,16,0,0
inhabit,VERB,16,0,0
torture,NOUN,16,0,0
thy,PRON,16,0,0
utter,VERB,16,0,0
abhor,VERB,16,0,0
copy,NOUN,16,0,0
use,NOUN,15,0,0
United,PROPN,15,0,1
States,PROPN,15,0,1
accompany,VERB,15,0,0
prospect,NOUN,15,0,0
excellent,ADJ,15,0,0
marriage,NOUN,15,0,0
silent,ADJ,15,0,0
distance,NOUN,15,0,0
address,VERB,15,0,0
limb,NOUN,15,0,0
carry,VERB,15,0,0
except,SCONJ,15,1,0
daughter,NOUN,15,0,0
unfortunate,ADJ,15,0,0
whether,SCONJ,15,1,0
play,VERB,15,0,0
presence,NOUN,15,0,0
stand,VERB,15,0,0
ill,ADJ,15,0,0
philosophy,NOUN,15,0,0
view,NOUN,15,0,0
strength,NOUN,15,0,0
effect,NOUN,15,0,0
employ,VERB,15,0,0
field,NOUN,15,0,0
sleep,VERB,15,0,0
window,NOUN,15,0,0
cry,VERB,15,0,0
remorse,NOUN,15,0,0
horrible,ADJ,15,0,0
society,NOUN,15,0,0
hovel,NOUN,15,0,0
donation,NOUN,15,0,0
require,VERB,14,0,0
curiosity,NOUN,14,0,0
all,ADV,14,1,0
mine,NOUN,14,1,0
agitation,NOUN,14,0,0
point,NOUN,14,0,0
admiration,NOUN,14,0,0
raise,VERB,14,0,0
sledge,NOUN,14,0,0
week,NOUN,14,0,0
question,NOUN,14,0,0
succeed,VERB,14,0,0
save,VERB,14,0,0
wild,ADJ,14,0,0
keep,VERB,14,1,0
consent,VERB,14,0,0
herself,PRON,14,1,0
confess,VERB,14,0,0
former,ADJ,14,1,0
interest,NOUN,14,0,0
attempt,VERB,14,0,0
melancholy,ADJ,14,0,0
people,NOUN,14,0,0
frame,NOUN,14,0,0
well,ADJ,14,1,0
amiable,ADJ,14,0,0
presently,ADV,14,0,0
wish,NOUN,14,0,0
truth,NOUN,14,0,0
wait,VERB,14,0,0
wretchedness,NOUN,14,0,0
mean,VERB,14,0,0
benevolent,ADJ,14,0,0
tranquillity,NOUN,14,0,0
fulfil,VERB,14,0,0
capable,ADJ,14,0,0
what,DET,14,1,0
hang,VERB,14,0,0
join,VERB,14,0,0
prove,VERB,14,0,0
protector,NOUN,14,0,0
minute,NOUN,14,0,0
kind,ADJ,14,0,0
tremble,VERB,14,0,0
forward,ADV,14,0,0
disturb,VERB,14,0,0
hatred,NOUN,14,0,0
condemn,VERB,14,0,0
wave,NOUN,14,0,0
cheek,NOUN,13,0,0
advance,VERB,13,0,0
reach,VERB,13,0,0
heaven,PROPN,13,0,1
imagine,VERB,13,0,0
entreat,VERB,13,0,0
difficulty,NOUN,13,0,0
disposition,NOUN,13,0,0
story,NOUN,13,0,0
money,NOUN,13,0,0
toil,NOUN,13,0,0
permit,VERB,13,0,0
winter,NOUN,13,0,0
scarcely,ADV,13,0,0
very,ADJ,13,1,0
star,NOUN,13,0,0
situation,NOUN,13,0,0
excite,VERB,13,0,0
shut,VERB,13,0,0
fatigue,NOUN,13,0,0
show,VERB,13,1,0
fellow,ADJ,13,0,0
ought,AUX,13,0,0
mine,PRON,13,1,0
convey,VERB,13,0,0
next,ADJ,13,1,0
frightful,ADJ,13,0,0
distinguish,VERB,13,0,0
conceal,VERB,13,0,0
exertion,NOUN,13,0,0
arm,NOUN,13,0,0
parent,NOUN,13,0,0
fair,ADJ,13,0,0
hill,NOUN,13,0,0
silence,NOUN,13,0,0
contemplate,VERB,13,0,0
shine,VERB,13,0,0
oblige,VERB,13,0,0
extinguish,VERB,13,0,0
rush,VERB,13,0,0
mention,VERB,13,0,0
instant,NOUN,13,0,0
apply,VERB,13,0,0
animal,NOUN,13,0,0
examine,VERB,13,0,0
summit,NOUN,13,0,0
Arabian,PROPN,13,0,1
lay,VERB,13,0,0
hold,VERB,13,0,0
servant,NOUN,13,0,0
Ernest,PROPN,13,0,1
soothe,VERB,13,0,0
cast,VERB,13,0,0
magistrate,NOUN,13,0,0
prison,NOUN,13,0,0
mighty,ADJ,13,0,0
Kirwin,PROPN,13,0,1
fee,NOUN,13,0,0
trademark,NOUN,13,0,0
paragraph,NOUN,13,0,0
Literary,PROPN,13,0,1
Archive,PROPN,13,0,1
modern,ADJ,12,0,0
Letter,PROPN,12,0,1
