lemma,pos,count,is_stopword,is_proper_noun
the,DET,6097,1,0
be,AUX,4242,1,0
of,ADP,2652,1,0
and,CCONJ,2256,1,0
a,DET,2066,1,0
in,ADP,1645,1,0
i,PRON,1496,1,0
have,AUX,1444,1,0
to,PART,1234,1,0
it,PRON,1077,1,0
they,PRON,745,1,0
that,SCONJ,731,1,0
to,ADP,712,1,0
at,ADP,607,1,0
with,ADP,566,1,0
not,PART,559,1,0
we,PRON,556,1,0
for,ADP,547,1,0
on,ADP,531,1,0
but,CCONJ,493,1,0
as,ADP,465,1,0
there,PRON,423,1,0
this,DET,382,1,0
by,ADP,369,1,0
from,ADP,355,1,0
my,PRON,325,1,0
which,DET,316,1,0
or,CCONJ,315,1,0
you,PRON,315,1,0
he,PRON,311,1,0
one,NUM,297,1,0
no,DET,281,1,0
all,DET,278,1,0
that,PRON,277,1,0
do,AUX,265,1,0
their,PRON,249,1,0
when,SCONJ,249,1,0
man,NOUN,248,0,0
an,DET,244,1,0
would,AUX,244,1,0
could,AUX,239,1,0
time,NOUN,239,0,0
who,PRON,236,1,0
get,VERB,230,1,0
out,ADP,226,1,0
go,VERB,215,1,0
war,NOUN,202,0,0
so,ADV,202,1,0
into,ADP,197,1,0
make,VERB,194,1,0
up,ADP,192,1,0
his,PRON,191,1,0
see,VERB,171,1,0
some,DET,163,1,0
even,ADV,161,1,0
that,DET,159,1,0
if,SCONJ,159,1,0
know,VERB,155,0,0
come,VERB,155,0,0
thing,NOUN,153,0,0
only,ADV,153,1,0
say,VERB,149,1,0
people,NOUN,148,0,0
line,NOUN,146,0,0
our,PRON,145,1,0
any,DET,144,1,0
what,PRON,142,1,0
Barcelona,PROPN,140,0,1
day,NOUN,139,0,0
than,ADP,137,1,0
two,NUM,135,1,0
very,ADV,134,1,0
rifle,NOUN,133,0,0
front,NOUN,125,1,0
over,ADP,125,1,0
take,VERB,123,1,0
Spain,PROPN,122,0,1
about,ADP,120,1,0
like,ADP,118,0,0
down,ADP,117,1,0
seem,VERB,115,1,0
few,ADJ,115,1,0
militia,NOUN,113,0,0
Government,PROPN,113,0,1
fascist,ADJ,110,0,0
side,NOUN,104,1,0
think,VERB,104,0,0
gun,NOUN,103,0,0
back,ADV,103,1,0
street,NOUN,102,0,0
other,ADJ,100,1,0
fighting,NOUN,99,0,0
happen,VERB,98,0,0
way,NOUN,96,0,0
first,ADJ,93,1,0
every,DET,92,1,0
more,ADV,90,1,0
still,ADV,89,1,0
give,VERB,89,1,0
then,ADV,88,1,0
party,NOUN,87,0,0
against,ADP,87,1,0
after,ADP,87,1,0
everyone,PRON,86,1,0
as,ADV,84,1,0
where,SCONJ,84,1,0
little,ADJ,84,0,0
kind,NOUN,80,0,0
though,SCONJ,80,1,0
because,SCONJ,80,1,0
now,ADV,79,1,0
month,NOUN,78,0,0
same,ADJ,78,1,0
Guards,PROPN,78,0,1
spanish,ADJ,77,0,0
more,ADJ,77,1,0
good,ADJ,77,0,0
never,ADV,76,1,0
night,NOUN,76,0,0
how,SCONJ,76,1,0
Fascists,PROPN,76,0,1
police,NOUN,76,0,0
building,NOUN,75,0,0
nothing,PRON,75,1,0
later,ADV,74,0,0
use,VERB,74,1,0
away,ADV,73,0,0
there,ADV,73,1,0
bomb,NOUN,73,0,0
almost,ADV,72,1,0
its,PRON,72,1,0
leave,VERB,72,0,0
political,ADJ,72,0,0
must,AUX,71,1,0
begin,VERB,71,0,0
hundred,NUM,70,1,0
can,AUX,69,1,0
machine,NOUN,69,0,0
keep,VERB,69,1,0
your,PRON,69,1,0
three,NUM,69,1,0
fire,NOUN,69,0,0
revolutionary,ADJ,68,0,0
about,ADV,68,1,0
hear,VERB,68,0,0
look,VERB,67,0,0
always,ADV,67,1,0
class,NOUN,67,0,0
worker,NOUN,67,0,0
upon,SCONJ,66,1,0
all,ADV,65,1,0
might,AUX,65,1,0
these,DET,64,1,0
parapet,NOUN,64,0,0
yard,NOUN,63,0,0
off,ADP,63,1,0
troop,NOUN,63,0,0
Kopp,PROPN,63,0,1
arm,NOUN,63,0,0
Civil,PROPN,63,0,1
before,ADP,62,1,0
place,NOUN,62,0,0
behind,ADP,62,1,0
Communist,PROPN,62,0,1
without,ADP,61,1,0
hour,NOUN,61,0,0
well,ADV,60,1,0
trench,NOUN,60,0,0
under,ADP,60,1,0
hand,NOUN,59,0,0
Anarchists,PROPN,59,0,1
one,PRON,59,1,0
find,VERB,59,0,0
paper,NOUN,59,0,0
again,ADV,58,1,0
revolution,NOUN,58,0,0
except,SCONJ,58,1,0
number,NOUN,58,0,0
send,VERB,58,0,0
many,ADJ,58,1,0
several,ADJ,58,1,0
communist,ADJ,58,0,0
fact,NOUN,57,0,0
another,DET,57,1,0
position,NOUN,57,0,0
militiaman,NOUN,56,0,0
far,ADV,56,1,0
through,ADP,56,1,0
those,DET,56,1,0
tell,VERB,55,0,0
fire,VERB,55,0,0
bullet,NOUN,55,0,0
stand,VERB,54,0,0
feel,VERB,54,0,0
try,VERB,54,0,0
food,NOUN,54,0,0
order,NOUN,54,0,0
mean,VERB,53,0,0
long,ADJ,53,0,0
here,ADV,52,1,0
too,ADV,52,1,0
Communists,PROPN,52,0,1
town,NOUN,51,0,0
small,ADJ,51,0,0
do,VERB,51,1,0
barricade,NOUN,51,0,0
wound,VERB,51,0,0
own,ADJ,50,1,0
remember,VERB,50,0,0
however,ADV,50,1,0
between,ADP,50,1,0
part,NOUN,50,1,0
Franco,PROPN,50,0,1
lie,VERB,49,0,0
should,AUX,49,1,0
most,ADJ,49,1,0
May,PROPN,49,1,1
bad,ADJ,48,0,0
call,VERB,48,1,0
fight,VERB,48,0,0
wife,NOUN,48,0,0
one,NOUN,48,1,0
case,NOUN,48,0,0
member,NOUN,48,0,0
also,ADV,47,1,0
just,ADV,47,1,0
shoot,VERB,47,0,0
run,VERB,47,0,0
whole,ADJ,46,1,0
Army,PROPN,46,0,1
want,VERB,46,0,0
face,NOUN,45,0,0
believe,VERB,45,0,0
various,ADJ,45,1,0
moment,NOUN,45,0,0
general,ADJ,45,0,0
country,NOUN,45,0,0
once,ADV,45,1,0
hotel,NOUN,44,0,0
English,PROPN,44,0,1
quite,ADV,44,1,0
bring,VERB,43,0,0
among,ADP,43,1,0
officer,NOUN,42,0,0
while,SCONJ,42,1,0
red,ADJ,42,0,0
