lemma,pos,count,is_stopword,is_proper_noun
the,DET,4191,1,0
be,AUX,3262,1,0
he,PRON,2907,1,0
a,DET,2414,1,0
of,ADP,2291,1,0
and,CCONJ,2129,1,0
it,PRON,1628,1,0
have,AUX,1494,1,0
in,ADP,1359,1,0
to,PART,1275,1,0
you,PRON,1138,1,0
his,PRON,1094,1,0
they,PRON,837,1,0
Gordon,PROPN,826,0,1
she,PRON,814,1,0
i,PRON,813,1,0
with,ADP,700,1,0
to,ADP,697,1,0
for,ADP,658,1,0
do,AUX,614,1,0
on,ADP,581,1,0
at,ADP,561,1,0
not,PART,558,1,0
but,CCONJ,556,1,0
that,SCONJ,536,1,0
as,ADP,435,1,0
say,VERB,433,1,0
that,DET,424,1,0
go,VERB,407,1,0
money,NOUN,372,0,0
would,AUX,365,1,0
get,VERB,333,1,0
there,PRON,331,1,0
this,DET,330,1,0
what,PRON,330,1,0
out,ADP,321,1,0
her,PRON,316,1,0
all,DET,312,1,0
from,ADP,291,1,0
could,AUX,284,1,0
Ravelston,PROPN,284,0,1
up,ADP,281,1,0
look,VERB,268,0,0
so,ADV,263,1,0
like,ADP,249,0,0
no,DET,247,1,0
know,VERB,236,0,0
or,CCONJ,234,1,0
come,VERB,227,0,0
an,DET,224,1,0
when,SCONJ,222,1,0
we,PRON,218,1,0
about,ADP,215,1,0
by,ADP,214,1,0
that,PRON,213,1,0
one,NUM,208,1,0
make,VERB,205,1,0
if,SCONJ,200,1,0
think,VERB,195,0,0
even,ADV,193,1,0
two,NUM,192,1,0
into,ADP,187,1,0
thing,NOUN,186,0,0
see,VERB,185,1,0
Rosemary,PROPN,185,0,1
can,AUX,182,1,0
over,ADP,181,1,0
take,VERB,180,1,0
their,PRON,177,1,0
time,NOUN,177,0,0
back,ADV,167,1,0
only,ADV,160,1,0
your,PRON,159,1,0
want,VERB,156,0,0
now,ADV,155,1,0
all,ADV,149,1,0
never,ADV,149,1,0
who,PRON,148,1,0
down,ADP,147,1,0
some,DET,147,1,0
job,NOUN,147,0,0
way,NOUN,146,0,0
feel,VERB,143,0,0
face,NOUN,140,0,0
little,ADJ,138,0,0
which,DET,136,1,0
good,ADJ,132,0,0
woman,NOUN,129,0,0
oh,INTJ,126,0,0
himself,PRON,126,1,0
day,NOUN,126,0,0
book,NOUN,125,0,0
how,SCONJ,125,1,0
seem,VERB,124,1,0
man,NOUN,120,0,0
then,ADV,118,1,0
away,ADV,117,0,0
just,ADV,116,1,0
again,ADV,114,1,0
than,ADP,113,1,0
year,NOUN,112,0,0
very,ADV,111,1,0
give,VERB,109,1,0
after,ADP,109,1,0
eye,NOUN,109,0,0
always,ADV,107,1,0
let,VERB,105,0,0
still,ADV,105,1,0
there,ADV,104,1,0
any,DET,104,1,0
moment,NOUN,103,0,0
hand,NOUN,103,0,0
write,VERB,99,0,0
almost,ADV,98,1,0
kind,NOUN,98,0,0
no,INTJ,97,1,0
people,NOUN,97,0,0
something,PRON,96,1,0
here,ADV,96,1,0
other,ADJ,94,1,0
why,SCONJ,94,1,0
keep,VERB,92,1,0
my,PRON,92,1,0
turn,VERB,91,0,0
arm,NOUN,91,0,0
ever,ADV,90,1,0
room,NOUN,90,0,0
more,ADJ,90,1,0
live,VERB,90,0,0
though,SCONJ,89,1,0
life,NOUN,89,0,0
girl,NOUN,88,0,0
against,ADP,87,1,0
week,NOUN,87,0,0
those,DET,86,1,0
yes,INTJ,86,0,0
off,ADP,84,1,0
five,NUM,83,1,0
bed,NOUN,83,0,0
door,NOUN,82,0,0
course,NOUN,82,0,0
because,SCONJ,82,1,0
as,ADV,81,1,0
Mr,PROPN,80,0,1
mean,VERB,80,0,0
Julia,PROPN,80,0,1
nothing,PRON,79,1,0
where,SCONJ,78,1,0
must,AUX,78,1,0
poem,NOUN,77,0,0
will,AUX,76,1,0
might,AUX,76,1,0
old,ADJ,76,0,0
three,NUM,75,1,0
too,ADV,75,1,0
place,NOUN,75,0,0
put,VERB,75,1,0
another,DET,74,1,0
leave,VERB,74,0,0
its,PRON,74,1,0
find,VERB,74,0,0
tell,VERB,74,0,0
through,ADP,73,1,0
talk,VERB,73,0,0
walk,VERB,73,0,0
street,NOUN,72,0,0
pay,VERB,72,0,0
sit,VERB,71,0,0
pocket,NOUN,71,0,0
table,NOUN,70,0,0
well,ADV,70,1,0
house,NOUN,70,0,0
sort,NOUN,69,0,0
quite,ADV,68,1,0
cold,ADJ,68,0,0
beer,NOUN,68,0,0
without,ADP,67,1,0
world,NOUN,67,0,0
stand,VERB,66,0,0
rather,ADV,65,1,0
long,ADV,65,0,0
yet,ADV,65,1,0
night,NOUN,65,0,0
pound,NOUN,65,0,0
aspidistra,NOUN,64,0,0
same,ADJ,61,1,0
really,ADV,61,1,0
long,ADJ,60,0,0
last,ADJ,60,1,0
do,VERB,60,1,0
more,ADV,60,1,0
before,ADP,60,1,0
own,ADJ,59,1,0
four,NUM,59,1,0
hour,NOUN,59,0,0
young,ADJ,59,0,0
letter,NOUN,59,0,0
under,ADP,58,1,0
head,NOUN,57,0,0
mind,NOUN,57,0,0
between,ADP,56,1,0
ten,NUM,56,1,0
Mrs,PROPN,55,0,1
tea,NOUN,55,0,0
down,ADV,54,1,0
after,ADV,54,1,0
London,PROPN,54,0,1
paper,NOUN,53,0,0
perhaps,ADV,53,1,0
small,ADJ,52,0,0
heart,NOUN,52,0,0
God,PROPN,52,0,1
feeling,NOUN,51,0,0
right,ADJ,50,0,0
happen,VERB,50,0,0
bad,ADJ,50,0,0
everything,PRON,50,1,0
lie,VERB,50,0,0
Comstock,PROPN,49,0,1
first,ADJ,49,1,0
well,INTJ,49,1,0
bottle,NOUN,49,0,0
pub,NOUN,48,0,0
every,DET,48,1,0
class,NOUN,48,0,0
air,NOUN,47,0,0
shop,NOUN,47,0,0
upon,SCONJ,47,1,0
begin,VERB,47,0,0
window,NOUN,46,0,0
wind,NOUN,46,0,0
much,ADV,46,1,0
soon,ADV,46,0,0
ought,AUX,46,0,0
hear,VERB,45,0,0
should,AUX,45,1,0
once,ADV,45,1,0
whole,ADJ,44,1,0
library,NOUN,44,0,0
thought,NOUN,44,0,0
hair,NOUN,44,0,0
foot,NOUN,43,0,0
corner,NOUN,43,0,0
call,VERB,43,1,0
light,NOUN,43,0,0
business,NOUN,43,0,0
thirty,NUM,42,0,0
work,NOUN,42,0,0
behind,ADP,42,1,0
of,ADV,42,1,0
half,NOUN,42,0,0
these,DET,41,1,0
side,NOUN,41,1,0
course,ADV,41,0,0
grow,VERB,41,0,0
try,VERB,41,0,0
New,PROPN,41,0,1
twenty,NUM,40,1,0
anything,PRON,40,1,0
few,ADJ,40,1,0
far,ADV,40,1,0
like,VERB,40,0,0
bar,NOUN,40,0,0
baby,NOUN,40,0,0
however,ADV,39,1,0
much,ADJ,39,1,0
white,ADJ,39,0,0
read,VERB,39,0,0
Flaxman,PROPN,39,0,1
speak,VERB,38,0,0
poor,ADJ,38,0,0
bloody,ADJ,38,0,0
except,SCONJ,38,1,0
together,ADV,38,1,0
wine,NOUN,38,0,0
send,VERB,38,0,0
work,VERB,38,0,0
quid,NOUN,38,0,0
also,ADV,38,1,0
body,NOUN,37,0,0
great,ADJ,37,0,0
half,DET,37,0,0
family,NOUN,37,0,0
already,ADV,37,1,0
cigarette,NOUN,37,0,0
die,VERB,37,0,0
dead,ADJ,37,0,0
enough,ADV,37,1,0
bring,VERB,37,0,0
wait,VERB,37,0,0
suddenly,ADV,37,0,0
word,NOUN,37,0,0
marry,VERB,37,0,0
morning,NOUN,37,0,0
pull,VERB,37,0,0
waiter,NOUN,37,0,0
till,SCONJ,36,0,0
towards,ADP,36,1,0
middle,ADJ,36,0,0
expect,VERB,36,0,0
voice,NOUN,36,0,0
have,VERB,36,0,0
somehow,ADV,36,1,0
presently,ADV,36,0,0
