lemma,pos,count,is_stopword,is_proper_noun
the,DET,6516,1,0
be,AUX,5056,1,0
of,ADP,3475,1,0
a,DET,2572,1,0
he,PRON,2480,1,0
and,CCONJ,2439,1,0
it,PRON,1920,1,0
in,ADP,1859,1,0
have,AUX,1806,1,0
to,PART,1519,1,0
his,PRON,1086,1,0
you,PRON,1008,1,0
they,PRON,947,1,0
not,PART,871,1,0
to,ADP,828,1,0
that,SCONJ,824,1,0
with,ADP,792,1,0
for,ADP,665,1,0
at,ADP,643,1,0
but,CCONJ,636,1,0
as,ADP,609,1,0
i,PRON,608,1,0
on,ADP,605,1,0
she,PRON,582,1,0
do,AUX,528,1,0
Winston,PROPN,527,0,1
there,PRON,489,1,0
say,VERB,476,1,0
which,DET,472,1,0
or,CCONJ,467,1,0
by,ADP,437,1,0
could,AUX,432,1,0
from,ADP,422,1,0
would,AUX,362,1,0
that,PRON,345,1,0
an,DET,344,1,0
all,DET,338,1,0
out,ADP,336,1,0
one,NUM,332,1,0
that,DET,332,1,0
no,DET,328,1,0
when,SCONJ,317,1,0
what,PRON,312,1,0
even,ADV,305,1,0
know,VERB,304,0,0
up,ADP,297,1,0
this,DET,293,1,0
into,ADP,277,1,0
Party,PROPN,272,0,1
we,PRON,264,1,0
time,NOUN,242,0,0
their,PRON,240,1,0
make,VERB,238,1,0
if,SCONJ,236,1,0
her,PRON,232,1,0
see,VERB,229,1,0
word,NOUN,220,0,0
face,NOUN,218,0,0
any,DET,217,1,0
only,ADV,204,1,0
go,VERB,201,1,0
man,NOUN,199,0,0
some,DET,195,1,0
seem,VERB,193,1,0
then,ADV,191,1,0
come,VERB,186,0,0
so,ADV,185,1,0
never,ADV,181,1,0
like,ADP,178,0,0
down,ADP,178,1,0
will,AUX,177,1,0
again,ADV,175,1,0
look,VERB,174,0,0
think,VERB,171,0,0
its,PRON,170,1,0
moment,NOUN,169,0,0
other,ADJ,169,1,0
your,PRON,166,1,0
two,NUM,166,1,0
get,VERB,163,1,0
can,AUX,160,1,0
take,VERB,160,1,0
than,ADP,156,1,0
year,NOUN,152,0,0
still,ADV,151,1,0
thing,NOUN,149,0,0
always,ADV,145,1,0
who,PRON,142,1,0
hand,NOUN,140,0,0
way,NOUN,139,0,0
day,NOUN,137,0,0
now,ADV,136,1,0
eye,NOUN,131,0,0
over,ADP,131,1,0
almost,ADV,128,1,0
very,ADV,127,1,0
another,DET,125,1,0
happen,VERB,124,0,0
three,NUM,122,1,0
war,NOUN,122,0,0
might,AUX,122,1,0
old,ADJ,121,0,0
about,ADP,120,1,0
as,ADV,118,1,0
same,ADJ,118,1,0
give,VERB,116,1,0
because,SCONJ,116,1,0
back,ADV,115,1,0
voice,NOUN,114,0,0
though,SCONJ,112,1,0
more,ADJ,112,1,0
place,NOUN,111,0,0
remember,VERB,110,0,0
little,ADJ,108,0,0
himself,PRON,107,1,0
turn,VERB,106,0,0
people,NOUN,106,0,0
world,NOUN,105,0,0
own,ADJ,105,1,0
against,ADP,105,1,0
mind,NOUN,105,0,0
telescreen,NOUN,104,0,0
how,SCONJ,104,1,0
must,AUX,104,1,0
few,ADJ,104,1,0
before,ADP,101,1,0
something,PRON,99,1,0
long,ADV,99,0,0
sit,VERB,99,0,0
through,ADP,98,1,0
more,ADV,98,1,0
ever,ADV,98,1,0
just,ADV,97,1,0
every,DET,97,1,0
away,ADV,97,0,0
kind,NOUN,97,0,0
without,ADP,97,1,0
Julia,PROPN,97,0,1
power,NOUN,95,0,0
room,NOUN,94,0,0
feel,VERB,94,0,0
thought,NOUN,94,0,0
life,NOUN,94,0,0
exist,VERB,93,0,0
body,NOUN,92,0,0
perhaps,ADV,92,1,0
off,ADP,91,1,0
become,VERB,89,1,0
where,SCONJ,89,1,0
woman,NOUN,89,0,0
after,ADP,88,1,0
all,ADV,87,1,0
call,VERB,85,1,0
too,ADV,84,1,0
stand,VERB,82,0,0
there,ADV,82,1,0
hour,NOUN,80,0,0
nothing,PRON,79,1,0
member,NOUN,79,0,0
here,ADV,79,1,0
keep,VERB,78,1,0
girl,NOUN,78,0,0
tell,VERB,77,0,0
Newspeak,PROPN,77,0,1
do,VERB,77,1,0
four,NUM,76,1,0
between,ADP,76,1,0
one,NOUN,75,1,0
write,VERB,75,0,0
speak,VERB,75,0,0
past,NOUN,75,0,0
use,VERB,74,1,0
anything,PRON,73,1,0
side,NOUN,73,1,0
possible,ADJ,73,0,0
small,ADJ,73,0,0
end,NOUN,72,0,0
pain,NOUN,72,0,0
table,NOUN,71,0,0
once,ADV,71,1,0
already,ADV,71,1,0
well,ADV,70,1,0
arm,NOUN,70,0,0
human,ADJ,70,0,0
mean,VERB,70,0,0
should,AUX,69,1,0
also,ADV,69,1,0
sort,NOUN,68,0,0
feeling,NOUN,68,0,0
except,SCONJ,67,1,0
such,ADJ,67,1,0
white,ADJ,66,0,0
head,NOUN,66,0,0
since,SCONJ,66,1,0
Brother,PROPN,66,0,1
yes,INTJ,66,0,0
begin,VERB,65,0,0
stop,VERB,65,0,0
good,ADJ,64,0,0
street,NOUN,64,0,0
Ministry,PROPN,64,0,1
hold,VERB,64,0,0
book,NOUN,64,0,0
whole,ADJ,64,1,0
everything,PRON,64,1,0
Big,PROPN,64,0,1
minute,NOUN,64,0,0
fact,NOUN,63,0,0
my,PRON,63,1,0
Oceania,PROPN,62,0,1
memory,NOUN,62,0,0
suddenly,ADV,62,0,0
five,NUM,61,1,0
merely,ADV,61,0,0
far,ADV,61,1,0
child,NOUN,61,0,0
grow,VERB,61,0,0
work,VERB,60,0,0
want,VERB,60,0,0
first,ADJ,60,1,0
why,SCONJ,60,1,0
necessary,ADJ,60,0,0
glass,NOUN,59,0,0
great,ADJ,59,0,0
sometimes,ADV,59,1,0
try,VERB,58,0,0
lie,VERB,58,0,0
put,VERB,58,1,0
under,ADP,58,1,0
while,SCONJ,57,1,0
fall,VERB,57,0,0
bring,VERB,57,0,0
bed,NOUN,57,0,0
hear,VERB,56,0,0
leave,VERB,56,0,0
long,ADJ,56,0,0
thirty,NUM,55,0,0
itself,PRON,55,1,0
believe,VERB,55,0,0
one,PRON,55,1,0
piece,NOUN,55,0,0
whether,SCONJ,54,1,0
quite,ADV,54,1,0
certain,ADJ,54,0,0
actually,ADV,54,0,0
prole,NOUN,54,0,0
large,ADJ,53,0,0
simply,ADV,53,0,0
follow,VERB,53,0,0
paper,NOUN,53,0,0
work,NOUN,53,0,0
different,ADJ,53,0,0
change,VERB,53,0,0
air,NOUN,52,0,0
soon,ADV,52,0,0
our,PRON,51,1,0
