lemma,pos,count,is_stopword,is_proper_noun
the,DET,298,1,0
be,AUX,267,1,0
of,ADP,235,1,0
and,CCONJ,154,1,0
a,DET,127,1,0
in,ADP,105,1,0
to,PART,99,1,0
not,PART,71,1,0
it,PRON,70,1,0
word,NOUN,60,0,0
have,AUX,55,1,0
to,ADP,51,1,0
this,DET,49,1,0
that,SCONJ,47,1,0
or,CCONJ,44,1,0
i,PRON,39,1,0
with,ADP,38,1,0
but,CCONJ,38,1,0
which,DET,37,1,0
you,PRON,35,1,0
can,AUX,35,1,0
by,ADP,34,1,0
for,ADP,34,1,0
use,VERB,34,1,0
they,PRON,34,1,0
as,ADP,32,1,0
make,VERB,29,1,0
phrase,NOUN,27,0,0
language,NOUN,26,0,0
an,DET,26,1,0
one,PRON,26,1,0
at,ADP,25,1,0
he,PRON,25,1,0
meaning,NOUN,25,0,0
one,NUM,24,1,0
from,ADP,23,1,0
do,AUX,22,1,0
if,SCONJ,22,1,0
will,AUX,22,1,0
all,DET,20,1,0
English,PROPN,19,0,1
like,ADP,19,0,0
on,ADP,19,1,0
political,ADJ,18,0,0
say,VERB,18,1,0
out,ADP,18,1,0
think,VERB,17,0,0
when,SCONJ,17,1,0
bad,ADJ,16,0,0
that,PRON,16,1,0
write,VERB,16,0,0
these,DET,16,1,0
kind,NOUN,16,0,0
we,PRON,15,1,0
no,DET,15,1,0
what,PRON,15,1,0
its,PRON,15,1,0
so,ADV,14,1,0
sentence,NOUN,14,0,0
any,DET,13,1,0
into,ADP,13,1,0
way,NOUN,12,0,0
that,DET,12,1,0
writer,NOUN,12,0,0
one,NOUN,12,1,0
your,PRON,11,1,0
give,VERB,11,1,0
more,ADV,11,1,0
up,ADP,11,1,0
metaphor,NOUN,11,0,0
some,DET,11,1,0
only,ADV,11,1,0
almost,ADV,10,1,0
people,NOUN,10,0,0
who,PRON,10,1,0
would,AUX,10,1,0
now,ADV,10,1,0
time,NOUN,10,0,0
such,ADJ,10,1,0
there,PRON,10,1,0
other,ADJ,10,1,0
writing,NOUN,10,0,0
image,NOUN,10,0,0
even,ADV,10,1,0
our,PRON,9,1,0
become,VERB,9,1,0
than,ADP,9,1,0
his,PRON,9,1,0
see,VERB,9,1,0
probably,ADV,9,0,0
call,VERB,9,1,0
about,ADP,8,1,0
must,AUX,8,1,0
general,ADJ,8,0,0
clear,ADJ,8,0,0
take,VERB,8,1,0
thing,NOUN,8,0,0
come,VERB,8,0,0
here,ADV,8,1,0
could,AUX,8,1,0
their,PRON,8,1,0
speech,NOUN,8,0,0
example,NOUN,8,0,0
Australia,PROPN,7,0,1
may,AUX,7,1,0
english,ADJ,7,0,0
against,ADP,7,1,0
effect,NOUN,7,0,0
because,SCONJ,7,1,0
true,ADJ,7,0,0
another,DET,7,1,0
modern,ADJ,7,0,0
certain,ADJ,7,0,0
never,ADV,7,1,0
Project,PROPN,6,0,1
Gutenberg,PROPN,6,0,1
politic,NOUN,6,0,0
feel,VERB,6,0,0
thought,NOUN,6,0,0
more,ADJ,6,1,0
first,ADJ,6,1,0
where,SCONJ,6,1,0
good,ADJ,6,0,0
well,ADV,6,1,0
something,PRON,6,1,0
prose,NOUN,6,0,0
without,ADP,6,1,0
always,ADV,6,1,0
simple,ADJ,6,0,0
every,DET,6,1,0
contain,VERB,6,0,0
should,AUX,6,1,0
find,VERB,6,0,0
all,ADV,5,1,0
go,VERB,5,1,0
generally,ADV,5,0,0
own,ADJ,5,1,0
same,ADJ,5,1,0
himself,PRON,5,1,0
especially,ADV,5,0,0
necessary,ADJ,5,0,0
get,VERB,5,1,0
passage,NOUN,5,0,0
far,ADV,5,1,0
choose,VERB,5,0,0
seem,VERB,5,1,0
idiom,NOUN,5,0,0
put,VERB,5,1,0
nor,CCONJ,5,1,0
itself,PRON,5,1,0
instance,NOUN,5,0,0
as,ADV,5,1,0
less,ADV,5,1,0
two,NUM,5,1,0
express,VERB,5,0,0
consist,VERB,5,0,0
while,SCONJ,5,1,0
save,VERB,5,0,0
line,NOUN,5,0,0
etc,X,5,0,0
formation,NOUN,5,0,0
consideration,NOUN,5,0,0
scientific,ADJ,5,0,0
russian,ADJ,5,0,0
often,ADV,5,1,0
cover,VERB,5,0,0
long,ADJ,5,0,0
want,VERB,5,0,0
style,NOUN,5,0,0
mind,NOUN,5,0,0
party,NOUN,5,0,0
rule,NOUN,5,0,0
eBook,PROPN,4,0,1
keep,VERB,4,1,0
change,VERB,4,0,0
world,NOUN,4,0,0
most,ADJ,4,1,0
conscious,ADJ,4,0,0
anything,PRON,4,1,0
natural,ADJ,4,0,0
purpose,NOUN,4,0,0
simply,ADV,4,0,0
original,ADJ,4,0,0
easy,ADJ,4,0,0
habit,NOUN,4,0,0
trouble,NOUN,4,0,0
five,NUM,4,1,0
mental,ADJ,4,0,0
each,DET,4,1,0
nothing,PRON,4,1,0
play,VERB,4,0,0
definition,NOUN,4,0,0
turn,VERB,4,0,0
new,ADJ,4,0,0
concrete,ADJ,4,0,0
verb,NOUN,4,0,0
syllable,NOUN,4,0,0
instead,ADV,4,0,0
possible,ADJ,4,0,0
cut,VERB,4,0,0
leave,VERB,4,0,0
foreign,ADJ,4,0,0
latin,ADJ,4,0,0
greek,ADJ,4,0,0
result,NOUN,4,0,0
meaningless,ADJ,4,0,0
case,NOUN,4,0,0
through,ADP,4,1,0
know,VERB,4,0,0
yet,ADV,4,1,0
again,ADV,4,1,0
need,VERB,4,0,0
imply,VERB,4,0,0
author,NOUN,3,0,0
produce,VERB,3,0,0
copyright,NOUN,3,0,0
over,ADP,3,1,0
sure,ADJ,3,0,0
country,NOUN,3,0,0
away,ADV,3,0,0
under,ADP,3,1,0
at,ADV,3,1,0
argument,NOUN,3,0,0
follow,VERB,3,0,0
cause,NOUN,3,0,0
man,NOUN,3,0,0
failure,NOUN,3,0,0
then,ADV,3,1,0
point,NOUN,3,0,0
process,NOUN,3,0,0
avoid,VERB,3,0,0
towards,ADP,3,1,0
back,ADV,3,1,0
pick,VERB,3,0,0
year,NOUN,3,0,0
side,NOUN,3,1,0
free,ADJ,3,0,0
social,ADJ,3,0,0
picture,NOUN,3,0,0
essay,NOUN,3,0,0
Britain,PROPN,3,0,1
strong,ADJ,3,0,0
mean,VERB,3,0,0
vagueness,NOUN,3,0,0
