lemma,pos,count,is_stopword,is_proper_noun
the,DET,219,1,0
i,PRON,141,1,0
be,AUX,135,1,0
and,CCONJ,97,1,0
a,DET,92,1,0
of,ADP,89,1,0
to,PART,74,1,0
have,AUX,70,1,0
he,PRON,62,1,0
it,PRON,60,1,0
in,ADP,56,1,0
elephant,NOUN,39,0,0
his,PRON,38,1,0
that,SCONJ,36,1,0
not,PART,31,1,0
with,ADP,30,1,0
but,CCONJ,29,1,0
an,DET,28,1,0
do,AUX,28,1,0
at,ADP,28,1,0
to,ADP,24,1,0
for,ADP,23,1,0
go,VERB,22,1,0
my,PRON,21,1,0
as,ADP,21,1,0
shoot,VERB,20,0,0
would,AUX,20,1,0
they,PRON,18,1,0
get,VERB,17,1,0
that,DET,16,1,0
if,SCONJ,14,1,0
when,SCONJ,14,1,0
on,ADP,14,1,0
see,VERB,14,1,0
rifle,NOUN,13,0,0
this,DET,12,1,0
up,ADP,12,1,0
crowd,NOUN,12,0,0
could,AUX,12,1,0
one,NUM,12,1,0
that,PRON,11,1,0
seem,VERB,11,1,0
man,NOUN,11,0,0
from,ADP,10,1,0
you,PRON,10,1,0
into,ADP,10,1,0
think,VERB,10,0,0
some,DET,10,1,0
no,DET,9,1,0
away,ADV,9,0,0
people,NOUN,9,0,0
look,VERB,9,0,0
even,ADV,9,1,0
come,VERB,9,0,0
make,VERB,8,1,0
all,DET,8,1,0
like,ADP,8,0,0
know,VERB,8,0,0
say,VERB,8,1,0
Australia,PROPN,7,0,1
which,DET,7,1,0
all,ADV,7,1,0
over,ADP,7,1,0
time,NOUN,7,0,0
face,NOUN,7,0,0
there,PRON,7,1,0
out,ADP,7,1,0
long,ADJ,7,0,0
about,ADP,7,1,0
take,VERB,7,0,0
kill,VERB,7,0,0
shot,NOUN,7,0,0
Project,PROPN,6,0,1
Gutenberg,PROPN,6,0,1
by,ADP,6,1,0
we,PRON,6,1,0
any,DET,6,1,0
way,NOUN,6,0,0
very,ADV,6,1,0
than,ADP,6,1,0
stand,VERB,6,0,0
thing,NOUN,6,0,0
their,PRON,6,1,0
every,DET,6,1,0
die,VERB,6,0,0
great,ADJ,6,0,0
want,VERB,6,0,0
Burmans,PROPN,6,0,1
hut,NOUN,6,0,0
ought,AUX,6,0,0
dead,ADJ,6,0,0
never,ADV,6,1,0
only,ADV,6,1,0
then,ADV,6,1,0
watch,VERB,6,0,0
happen,VERB,5,0,0
young,ADJ,5,0,0
distance,NOUN,5,0,0
already,ADV,5,1,0
mind,NOUN,5,0,0
against,ADP,5,1,0
do,VERB,5,1,0
who,PRON,5,1,0
down,ADP,5,1,0
what,PRON,5,1,0
old,ADJ,5,0,0
must,AUX,5,1,0
its,PRON,5,1,0
where,SCONJ,5,1,0
hear,VERB,5,0,0
body,NOUN,5,0,0
yard,NOUN,5,0,0
as,ADV,5,1,0
send,VERB,5,0,0
back,ADV,5,1,0
road,NOUN,5,0,0
thousand,NUM,5,0,0
moment,NOUN,5,0,0
two,NUM,5,1,0
white,ADJ,5,0,0
eBook,PROPN,4,0,1
notice,NOUN,4,0,0
almost,ADV,4,1,0
life,NOUN,4,0,0
town,NOUN,4,0,0
end,NOUN,4,0,0
yellow,ADJ,4,0,0
job,NOUN,4,0,0
quarter,NOUN,4,0,0
East,PROPN,4,0,1
beast,NOUN,4,0,0
something,PRON,4,1,0
upon,SCONJ,4,1,0
indian,ADJ,4,0,0
catch,VERB,4,0,0
tell,VERB,4,0,0
always,ADV,4,1,0
suddenly,ADV,4,0,0
turn,VERB,4,0,0
whole,ADJ,4,1,0
hand,NOUN,4,0,0
follow,VERB,4,0,0
mud,NOUN,4,0,0
coolie,NOUN,4,0,0
foot,NOUN,4,0,0
side,NOUN,4,1,0
five,NUM,4,1,0
feel,VERB,4,0,0
grow,VERB,4,0,0
worth,ADJ,4,0,0
there,ADV,4,1,0
