lemma,pos,count,is_stopword,is_proper_noun
the,DET,3983,1,0
and,CCONJ,3180,1,0
be,AUX,2226,1,0
a,DET,1934,1,0
he,PRON,1689,1,0
of,ADP,1579,1,0
it,PRON,1332,1,0
i,PRON,1209,1,0
to,PART,1139,1,0
in,ADP,1001,1,0
you,PRON,957,1,0
his,PRON,820,1,0
Tom,PROPN,812,0,1
they,PRON,791,1,0
have,AUX,727,1,0
with,ADP,694,1,0
to,ADP,669,1,0
do,AUX,638,1,0
but,CCONJ,578,1,0
for,ADP,557,1,0
she,PRON,504,1,0
say,VERB,473,1,0
that,DET,463,1,0
on,ADP,376,1,0
at,ADP,374,1,0
go,VERB,371,1,0
that,SCONJ,356,1,0
so,ADV,346,1,0
this,DET,338,1,0
not,PART,325,1,0
as,ADP,314,1,0
get,VERB,309,1,0
then,ADV,306,1,0
boy,NOUN,288,0,0
would,AUX,288,1,0
up,ADP,287,1,0
now,ADV,286,1,0
by,ADP,285,1,0
come,VERB,282,0,0
all,DET,260,1,0
if,SCONJ,259,1,0
out,ADP,258,1,0
Huck,PROPN,255,0,1
what,PRON,244,1,0
we,PRON,243,1,0
or,CCONJ,222,1,0
that,PRON,221,1,0
there,PRON,218,1,0
time,NOUN,215,0,0
when,SCONJ,213,1,0
see,VERB,211,1,0
know,VERB,206,0,0
could,AUX,202,1,0
from,ADP,195,1,0
their,PRON,194,1,0
an,DET,190,1,0
her,PRON,185,1,0
take,VERB,177,1,0
make,VERB,172,1,0
Joe,PROPN,168,0,1
no,DET,162,1,0
one,NUM,158,1,0
tell,VERB,154,0,0
any,DET,154,1,0
upon,SCONJ,150,1,0
about,ADP,148,1,0
just,ADV,146,1,0
find,VERB,144,0,0
little,ADJ,142,0,0
into,ADP,139,1,0
will,AUX,136,1,0
down,ADP,134,1,0
can,AUX,133,1,0
never,ADV,131,1,0
well,INTJ,131,1,0
again,ADV,129,1,0
away,ADV,125,0,0
look,VERB,123,0,0
begin,VERB,123,0,0
there,ADV,122,1,0
two,NUM,120,1,0
other,ADJ,118,1,0
some,DET,118,1,0
way,NOUN,118,0,0
oh,INTJ,118,0,0
ai,VERB,117,0,0
thing,NOUN,116,0,0
think,VERB,115,0,0
good,ADJ,113,0,0
Becky,PROPN,112,0,1
here,ADV,111,1,0
over,ADP,110,1,0
day,NOUN,109,0,0
work,NOUN,109,0,0
give,VERB,107,1,0
himself,PRON,106,1,0
too,ADV,106,1,0
my,PRON,105,1,0
CHAPTER,PROPN,104,0,1
man,NOUN,102,0,0
only,ADV,101,1,0
ever,ADV,100,1,0
hand,NOUN,99,0,0
why,SCONJ,99,1,0
let,VERB,98,0,0
night,NOUN,98,0,0
