lemma,pos,count,is_stopword,is_proper_noun
the,DET,4079,1,0
of,ADP,2772,1,0
be,AUX,2741,1,0
and,CCONJ,2609,1,0
i,PRON,2207,1,0
a,DET,1605,1,0
in,ADP,1567,1,0
to,PART,1388,1,0
he,PRON,1091,1,0
to,ADP,1005,1,0
have,AUX,919,1,0
it,PRON,795,1,0
for,ADP,763,1,0
my,PRON,711,1,0
with,ADP,697,1,0
his,PRON,648,1,0
they,PRON,638,1,0
as,ADP,565,1,0
that,SCONJ,546,1,0
by,ADP,542,1,0
not,PART,480,1,0
which,DET,457,1,0
we,PRON,451,1,0
at,ADP,448,1,0
but,CCONJ,414,1,0
on,ADP,405,1,0
this,DET,388,1,0
from,ADP,327,1,0
or,CCONJ,323,1,0
their,PRON,293,1,0
an,DET,266,1,0
some,DET,265,1,0
all,DET,254,1,0
our,PRON,248,1,0
make,VERB,247,1,0
one,NUM,247,1,0
you,PRON,234,1,0
who,PRON,232,1,0
that,DET,225,1,0
so,ADV,222,1,0
when,SCONJ,222,1,0
give,VERB,205,1,0
time,NOUN,198,0,0
would,AUX,194,1,0
do,AUX,193,1,0
great,ADJ,180,0,0
take,VERB,175,1,0
if,SCONJ,174,1,0
man,NOUN,165,0,0
that,PRON,160,1,0
any,DET,159,1,0
find,VERB,158,0,0
good,ADJ,158,0,0
say,VERB,156,1,0
think,VERB,155,0,0
no,DET,154,1,0
should,AUX,152,1,0
other,ADJ,149,1,0
then,ADV,148,1,0
might,AUX,141,1,0
see,VERB,140,1,0
into,ADP,136,1,0
work,NOUN,136,0,0
very,ADV,134,1,0
go,VERB,131,1,0
little,ADJ,130,0,0
year,NOUN,129,0,0
business,NOUN,126,0,0
Franklin,PROPN,125,0,1
could,AUX,123,1,0
will,AUX,121,1,0
have,VERB,112,0,0
house,NOUN,111,0,0
these,DET,110,1,0
what,PRON,110,1,0
she,PRON,109,1,0
friend,NOUN,109,0,0
day,NOUN,107,0,0
now,ADV,106,1,0
come,VERB,106,0,0
as,ADV,106,1,0
out,ADP,104,1,0
there,PRON,104,1,0
well,ADV,104,1,0
up,ADP,104,1,0
may,AUX,102,1,0
write,VERB,100,0,0
soon,ADV,100,0,0
after,ADP,98,1,0
more,ADJ,97,1,0
upon,SCONJ,97,1,0
know,VERB,96,0,0
before,ADP,95,1,0
many,ADJ,94,1,0
more,ADV,93,1,0
paper,NOUN,91,0,0
than,ADP,90,1,0
first,ADJ,87,1,0
such,ADJ,86,1,0
those,DET,86,1,0
two,NUM,85,1,0
Gutenberg,PROPN,84,0,1
Project,PROPN,83,0,1
people,NOUN,83,0,0
where,SCONJ,82,1,0
money,NOUN,81,0,0
pay,VERB,80,0,0
never,ADV,80,1,0
letter,NOUN,79,0,0
only,ADV,77,1,0
without,ADP,77,1,0
part,NOUN,75,1,0
each,DET,75,1,0
leave,VERB,75,0,0
much,ADJ,75,1,0
another,DET,74,1,0
too,ADV,74,1,0
myself,PRON,73,1,0
among,ADP,72,1,0
however,ADV,72,1,0
book,NOUN,72,0,0
hand,NOUN,71,0,0
its,PRON,71,1,0
must,AUX,71,1,0
England,PROPN,70,0,1
there,ADV,70,1,0
Philadelphia,PROPN,68,0,1
keep,VERB,68,1,0
therefore,ADV,67,1,0
meet,VERB,65,0,0
much,ADV,65,1,0
send,VERB,65,0,0
every,DET,64,1,0
read,VERB,64,0,0
get,VERB,64,1,0
New,PROPN,63,0,1
young,ADJ,63,0,0
governor,NOUN,63,0,0
about,ADP,62,1,0
put,VERB,62,1,0
street,NOUN,62,0,0
life,NOUN,62,0,0
thing,NOUN,62,0,0
bring,VERB,61,0,0
old,ADJ,60,0,0
set,VERB,60,0,0
do,VERB,60,1,0
father,NOUN,60,0,0
begin,VERB,59,0,0
account,NOUN,59,0,0
Assembly,PROPN,59,0,1
tell,VERB,58,0,0
own,ADJ,57,1,0
same,ADJ,57,1,0
under,ADP,56,1,0
country,NOUN,56,0,0
often,ADV,56,1,0
few,ADJ,55,1,0
way,NOUN,54,0,0
still,ADV,54,1,0
your,PRON,54,1,0
new,ADJ,54,0,0
order,NOUN,54,0,0
till,SCONJ,54,0,0
tho,PROPN,54,0,1
most,ADV,53,1,0
while,SCONJ,53,1,0
company,NOUN,53,0,0
etc,X,53,0,0
several,ADJ,53,1,0
become,VERB,53,1,0
public,ADJ,52,0,0
law,NOUN,51,0,0
near,ADP,51,0,0
use,NOUN,50,0,0
hear,VERB,50,0,0
continue,VERB,50,0,0
can,AUX,50,1,0
small,ADJ,50,0,0
shall,AUX,49,0,0
print,VERB,49,0,0
sometimes,ADV,48,1,0
number,NOUN,48,0,0
use,VERB,47,1,0
other,NOUN,47,1,0
draw,VERB,47,0,0
first,ADV,47,1,0
far,ADV,46,1,0
opinion,NOUN,46,0,0
himself,PRON,46,1,0
service,NOUN,46,0,0
between,ADP,46,1,0
place,NOUN,45,0,0
return,VERB,45,0,0
so,SCONJ,45,1,0
London,PROPN,44,0,1
carry,VERB,44,0,0
perhaps,ADV,44,1,0
live,VERB,44,0,0
three,NUM,44,1,0
occasion,NOUN,44,0,0
term,NOUN,42,0,0
her,PRON,42,1,0
follow,VERB,42,0,0
printing,NOUN,42,0,0
member,NOUN,42,0,0
Boston,PROPN,41,0,1
common,ADJ,41,0,0
down,ADP,41,1,0
purpose,NOUN,41,0,0
pound,NOUN,41,0,0
since,SCONJ,41,1,0
agree,VERB,41,0,0
York,PROPN,40,0,1
again,ADV,40,1,0
against,ADP,40,1,0
Pennsylvania,PROPN,39,0,1
how,SCONJ,39,1,0
also,ADV,39,1,0
call,VERB,39,1,0
affair,NOUN,39,0,0
receive,VERB,39,0,0
whom,PRON,39,1,0
attend,VERB,39,0,0
hundred,NUM,38,1,0
over,ADP,38,1,0
here,ADV,38,1,0
person,NOUN,38,0,0
length,NOUN,38,0,0
Keimer,PROPN,38,0,1
together,ADV,37,1,0
always,ADV,37,1,0
yet,ADV,37,1,0
son,NOUN,37,0,0
obtain,VERB,37,0,0
both,DET,36,1,0
such,DET,36,1,0
brother,NOUN,36,0,0
virtue,NOUN,36,0,0
generally,ADV,35,0,0
nothing,PRON,35,1,0
conversation,NOUN,35,0,0
writing,NOUN,35,0,0
copy,NOUN,35,0,0
well,ADJ,35,1,0
advantage,NOUN,35,0,0
grow,VERB,35,0,0
accordingly,ADV,35,0,0
necessary,ADJ,35,0,0
interest,NOUN,34,0,0
seem,VERB,34,1,0
piece,NOUN,34,0,0
because,SCONJ,34,1,0
different,ADJ,34,0,0
thus,ADV,34,1,0
ever,ADV,34,1,0
about,ADV,34,1,0
Autobiography,PROPN,33,0,1
project,NOUN,33,0,0
House,PROPN,33,0,1
let,VERB,33,0,0
horse,NOUN,33,0,0
appear,VERB,32,0,0
case,NOUN,32,0,0
publish,VERB,32,0,0
next,ADJ,32,1,0
one,NOUN,32,1,0
once,ADV,31,1,0
thro,NOUN,31,0,0
show,VERB,31,1,0
town,NOUN,31,0,0
consider,VERB,31,0,0
expect,VERB,31,0,0
week,NOUN,31,0,0
mention,VERB,31,0,0
long,ADV,31,0,0
child,NOUN,31,0,0
poor,ADJ,31,0,0
general,ADJ,31,0,0
America,PROPN,30,0,1
immediately,ADV,30,0,0
manner,NOUN,30,0,0
success,NOUN,30,0,0
point,NOUN,30,0,0
family,NOUN,30,0,0
four,NUM,30,1,0
afterwards,ADV,30,1,0
province,NOUN,30,0,0
waggon,NOUN,30,0,0
stand,VERB,29,0,0
work,VERB,29,0,0
agreement,NOUN,29,0,0
instruction,NOUN,29,0,0
mean,NOUN,29,0,0
printer,NOUN,29,0,0
learn,VERB,29,0,0
ship,NOUN,29,0,0
king,NOUN,28,0,0
plan,NOUN,28,0,0
mind,NOUN,28,0,0
reason,NOUN,28,0,0
experiment,NOUN,28,0,0
word,NOUN,28,0,0
five,NUM,28,1,0
full,ADJ,28,1,0
general,NOUN,28,0,0
most,ADJ,27,1,0
world,NOUN,27,0,0
evening,NOUN,27,0,0
provide,VERB,27,0,0
like,ADP,27,0,0
just,ADV,27,1,0
able,ADJ,27,0,0
name,NOUN,27,1,0
indeed,ADV,27,1,0
fire,NOUN,27,0,0
good,NOUN,27,0,0
line,NOUN,27,0,0
propose,VERB,27,0,0
water,NOUN,27,0,0
conduct,NOUN,27,0,0
off,ADP,27,1,0
electronic,ADJ,27,0,0
language,NOUN,26,0,0
Richard,PROPN,26,0,1
character,NOUN,26,0,0
themselves,PRON,26,1,0
even,ADV,26,1,0
acquaintance,NOUN,26,0,0
buy,VERB,26,0,0
sect,NOUN,26,0,0
thousand,NUM,26,0,0
happen,VERB,25,0,0
page,NOUN,25,0,0
employ,VERB,25,0,0
establish,VERB,25,0,0
ready,ADJ,25,0,0
useful,ADJ,25,0,0
William,PROPN,25,0,1
remain,VERB,25,0,0
kind,NOUN,25,0,0
choose,VERB,25,0,0
care,NOUN,25,0,0
want,NOUN,25,0,0
night,NOUN,25,0,0
avoid,VERB,25,0,0
Poor,PROPN,24,0,1
school,NOUN,24,0,0
bear,VERB,24,0,0
