lemma,pos,count,is_stopword,is_proper_noun
the,DET,7533,1,0
and,CCONJ,4643,1,0
be,AUX,4431,1,0
of,ADP,3612,1,0
a,DET,3094,1,0
i,PRON,2338,1,0
in,ADP,2113,1,0
to,PART,1908,1,0
it,PRON,1717,1,0
have,AUX,1469,1,0
to,ADP,1295,1,0
not,PART,1164,1,0
they,PRON,1051,1,0
he,PRON,1034,1,0
as,ADP,1016,1,0
for,ADP,995,1,0
or,CCONJ,955,1,0
with,ADP,921,1,0
which,DET,872,1,0
that,SCONJ,831,1,0
but,CCONJ,801,1,0
my,PRON,780,1,0
on,ADP,727,1,0
his,PRON,724,1,0
by,ADP,713,1,0
at,ADP,634,1,0
man,NOUN,606,0,0
this,DET,603,1,0
we,PRON,583,1,0
if,SCONJ,571,1,0
from,ADP,522,1,0
their,PRON,503,1,0
do,AUX,492,1,0
one,NUM,456,1,0
all,DET,436,1,0
when,SCONJ,424,1,0
so,ADV,410,1,0
an,DET,397,1,0
its,PRON,396,1,0
you,PRON,394,1,0
who,PRON,386,1,0
some,DET,363,1,0
would,AUX,338,1,0
than,ADP,320,1,0
make,VERB,319,1,0
our,PRON,312,1,0
that,DET,291,1,0
any,DET,289,1,0
will,AUX,286,1,0
see,VERB,281,1,0
day,NOUN,276,0,0
can,AUX,269,1,0
like,ADP,268,0,0
what,PRON,258,1,0
there,PRON,258,1,0
go,VERB,256,1,0
no,DET,247,1,0
come,VERB,244,0,0
life,NOUN,239,0,0
out,ADP,237,1,0
may,AUX,233,1,0
only,ADV,232,1,0
house,NOUN,224,0,0
wood,NOUN,223,0,0
where,SCONJ,222,1,0
up,ADP,219,1,0
say,VERB,213,1,0
as,ADV,208,1,0
more,ADV,205,1,0
know,VERB,204,0,0
that,PRON,202,1,0
time,NOUN,202,0,0
into,ADP,197,1,0
other,ADJ,192,1,0
never,ADV,189,1,0
water,NOUN,189,0,0
pond,NOUN,186,0,0
should,AUX,183,1,0
could,AUX,183,1,0
think,VERB,182,0,0
even,ADV,181,1,0
live,VERB,180,0,0
get,VERB,179,1,0
many,ADJ,176,1,0
though,SCONJ,173,1,0
over,ADP,173,1,0
still,ADV,173,1,0
hear,VERB,168,0,0
without,ADP,165,1,0
how,SCONJ,163,1,0
work,NOUN,162,0,0
these,DET,161,1,0
good,ADJ,156,0,0
find,VERB,153,0,0
great,ADJ,153,0,0
more,ADJ,150,1,0
through,ADP,147,1,0
about,ADP,146,1,0
there,ADV,145,1,0
such,ADJ,142,1,0
every,DET,141,1,0
well,ADV,140,1,0
take,VERB,139,1,0
those,DET,137,1,0
then,ADV,134,1,0
part,NOUN,129,1,0
year,NOUN,129,0,0
your,PRON,129,1,0
thing,NOUN,126,0,0
look,VERB,125,0,0
old,ADJ,125,0,0
ice,NOUN,125,0,0
far,ADV,124,1,0
side,NOUN,123,1,0
most,ADV,122,1,0
now,ADV,122,1,0
two,NUM,120,1,0
foot,NOUN,120,0,0
way,NOUN,118,0,0
sometimes,ADV,116,1,0
own,ADJ,115,1,0
nor,CCONJ,111,1,0
stand,VERB,110,0,0
before,ADP,109,1,0
long,ADV,109,0,0
little,ADJ,106,0,0
very,ADV,104,1,0
world,NOUN,102,0,0
keep,VERB,101,1,0
under,ADP,100,1,0
again,ADV,99,1,0
leave,VERB,99,0,0
shore,NOUN,98,0,0
night,NOUN,98,0,0
winter,NOUN,98,0,0
might,AUX,97,1,0
morning,NOUN,95,0,0
after,ADP,95,1,0
ever,ADV,95,1,0
much,ADV,94,1,0
must,AUX,94,1,0
while,SCONJ,94,1,0
off,ADP,94,1,0
down,ADP,93,1,0
new,ADJ,93,0,0
most,ADJ,92,1,0
put,VERB,92,1,0
once,ADV,92,1,0
yet,ADV,91,1,0
same,ADJ,91,1,0
last,ADJ,89,1,0
tree,NOUN,88,0,0
himself,PRON,88,1,0
hand,NOUN,87,0,0
let,VERB,87,0,0
call,VERB,86,1,0
few,ADJ,85,1,0
Gutenberg,PROPN,84,0,1
Walden,PROPN,84,0,1
Project,PROPN,83,0,1
give,VERB,83,1,0
another,DET,83,1,0
thus,ADV,83,1,0
tell,VERB,83,0,0
sun,NOUN,82,0,0
here,ADV,81,1,0
earth,NOUN,81,0,0
too,ADV,80,1,0
perhaps,ADV,79,1,0
spring,NOUN,79,0,0
myself,PRON,78,1,0
sit,VERB,77,0,0
use,VERB,76,1,0
surface,NOUN,76,0,0
read,VERB,75,0,0
long,ADJ,75,0,0
such,DET,75,1,0
also,ADV,74,1,0
place,NOUN,74,0,0
village,NOUN,74,0,0
whose,DET,73,1,0
fire,NOUN,72,0,0
become,VERB,72,1,0
true,ADJ,72,0,0
high,ADJ,72,0,0
summer,NOUN,72,0,0
small,ADJ,72,0,0
town,NOUN,70,0,0
deep,ADJ,70,0,0
appear,VERB,69,0,0
large,ADJ,69,0,0
poor,ADJ,69,0,0
shall,AUX,69,0,0
her,PRON,68,1,0
grow,VERB,68,0,0
field,NOUN,67,0,0
leaf,NOUN,67,0,0
hill,NOUN,67,0,0
upon,SCONJ,66,1,0
snow,NOUN,66,0,0
pine,NOUN,66,0,0
first,ADJ,65,1,0
do,VERB,65,1,0
begin,VERB,65,0,0
state,NOUN,65,0,0
ground,NOUN,65,0,0
door,NOUN,65,0,0
till,SCONJ,64,0,0
run,VERB,64,0,0
air,NOUN,64,0,0
first,ADV,63,1,0
head,NOUN,63,0,0
eye,NOUN,63,0,0
three,NUM,63,1,0
hour,NOUN,62,0,0
within,ADP,62,1,0
because,SCONJ,62,1,0
thought,NOUN,62,0,0
all,ADV,61,1,0
nothing,PRON,61,1,0
end,NOUN,61,0,0
seem,VERB,61,1,0
country,NOUN,60,0,0
speak,VERB,60,0,0
why,SCONJ,60,1,0
pay,VERB,60,0,0
each,DET,60,1,0
themselves,PRON,60,1,0
she,PRON,60,1,0
much,ADJ,59,1,0
kind,NOUN,59,0,0
one,NOUN,59,1,0
neighbor,NOUN,58,0,0
yet,CCONJ,58,1,0
bird,NOUN,57,0,0
government,NOUN,57,0,0
almost,ADV,56,1,0
law,NOUN,56,0,0
learn,VERB,56,0,0
itself,PRON,56,1,0
feel,VERB,55,0,0
have,VERB,55,0,0
bottom,NOUN,55,1,0
build,VERB,54,0,0
commonly,ADV,54,0,0
always,ADV,54,1,0
soon,ADV,54,0,0
wild,ADJ,54,0,0
mile,NOUN,53,0,0
whether,SCONJ,53,1,0
nature,NOUN,53,0,0
lie,VERB,53,0,0
farmer,NOUN,53,0,0
least,ADJ,53,1,0
enough,ADV,52,1,0
