lemma,pos,count,is_stopword,is_proper_noun
the,DET,2596,1,0
i,PRON,1718,1,0
and,CCONJ,1635,1,0
be,AUX,1478,1,0
a,DET,1467,1,0
of,ADP,1226,1,0
he,PRON,1133,1,0
in,ADP,854,1,0
to,PART,683,1,0
it,PRON,619,1,0
you,PRON,594,1,0
have,AUX,584,1,0
she,PRON,562,1,0
to,ADP,529,1,0
his,PRON,493,1,0
with,ADP,469,1,0
at,ADP,389,1,0
on,ADP,367,1,0
do,AUX,364,1,0
for,ADP,339,1,0
we,PRON,306,1,0
say,VERB,291,1,0
that,SCONJ,271,1,0
Gatsby,PROPN,267,0,1
as,ADP,264,1,0
go,VERB,262,1,0
but,CCONJ,258,1,0
they,PRON,252,1,0
from,ADP,247,1,0
her,PRON,247,1,0
my,PRON,243,1,0
that,DET,237,1,0
this,DET,211,1,0
come,VERB,208,0,0
out,ADP,203,1,0
an,DET,193,1,0
Tom,PROPN,191,0,1
Daisy,PROPN,184,0,1
get,VERB,179,1,0
or,CCONJ,178,1,0
up,ADP,178,1,0
know,VERB,173,0,0
see,VERB,171,1,0
look,VERB,169,0,0
if,SCONJ,168,1,0
into,ADP,168,1,0
all,DET,165,1,0
man,NOUN,157,0,0
by,ADP,147,1,0
when,SCONJ,147,1,0
that,PRON,146,1,0
then,ADV,144,1,0
about,ADP,139,1,0
what,PRON,139,1,0
there,PRON,134,1,0
one,NUM,127,1,0
so,ADV,120,1,0
think,VERB,120,0,0
who,PRON,117,1,0
down,ADP,108,1,0
not,PART,107,1,0
over,ADP,106,1,0
make,VERB,106,1,0
some,DET,104,1,0
just,ADV,103,1,0
house,NOUN,103,0,0
any,DET,101,1,0
take,VERB,101,1,0
hand,NOUN,101,0,0
now,ADV,100,1,0
back,ADV,98,1,0
time,NOUN,98,0,0
little,ADJ,97,0,0
want,VERB,97,0,0
like,ADP,91,0,0
eye,NOUN,91,0,0
could,AUX,90,1,0
old,ADJ,88,0,0
there,ADV,87,1,0
car,NOUN,87,0,0
work,NOUN,87,0,0
Gutenberg,PROPN,85,0,1
Project,PROPN,84,0,1
tell,VERB,84,0,0
other,ADJ,83,1,0
turn,VERB,83,0,0
after,ADP,82,1,0
room,NOUN,82,0,0
can,AUX,81,1,0
way,NOUN,78,0,0
your,PRON,78,1,0
night,NOUN,77,0,0
Wilson,PROPN,76,0,1
away,ADV,75,0,0
would,AUX,75,1,0
all,ADV,74,1,0
two,NUM,73,1,0
moment,NOUN,73,0,0
which,DET,72,1,0
here,ADV,72,1,0
Jordan,PROPN,72,0,1
door,NOUN,71,0,0
no,DET,70,1,0
voice,NOUN,69,0,0
something,PRON,68,1,0
thing,NOUN,68,0,0
day,NOUN,68,0,0
hear,VERB,68,0,0
girl,NOUN,67,0,0
people,NOUN,66,0,0
through,ADP,66,1,0
where,SCONJ,65,1,0
give,VERB,64,1,0
never,ADV,64,1,0
face,NOUN,64,0,0
too,ADV,63,1,0
leave,VERB,63,0,0
begin,VERB,63,0,0
sit,VERB,62,0,0
year,NOUN,61,0,0
find,VERB,60,0,0
ask,VERB,59,0,0
again,ADV,57,1,0
very,ADV,56,1,0
their,PRON,56,1,0
stand,VERB,54,0,0
call,VERB,54,1,0
before,ADP,53,1,0
name,NOUN,51,1,0
sport,NOUN,50,0,0
minute,NOUN,49,0,0
even,ADV,49,1,0
try,VERB,49,0,0
how,SCONJ,48,1,0
young,ADJ,47,0,0
toward,ADP,47,1,0
hour,NOUN,47,0,0
will,AUX,46,1,0
move,VERB,46,1,0
because,SCONJ,46,1,0
only,ADV,46,1,0
light,NOUN,46,0,0
white,ADJ,45,0,0
seem,VERB,44,1,0
why,SCONJ,44,1,0
afternoon,NOUN,44,0,0
New,PROPN,43,0,1
until,ADP,43,1,0
its,PRON,43,1,0
head,NOUN,43,0,0
oh,INTJ,43,0,0
must,AUX,42,1,0
well,INTJ,42,1,0
before,ADV,41,1,0
last,ADJ,40,1,0
Baker,PROPN,40,0,1
suddenly,ADV,40,0,0
more,ADV,39,1,0
feel,VERB,39,0,0
start,VERB,39,0,0
talk,VERB,39,0,0
let,VERB,39,0,0
word,NOUN,39,0,0
under,ADP,38,1,0
three,NUM,38,1,0
West,PROPN,38,0,1
window,NOUN,38,0,0
around,ADP,38,1,0
off,ADP,38,1,0
wait,VERB,38,0,0
than,ADP,37,1,0
woman,NOUN,37,0,0
walk,VERB,37,0,0
over,ADV,37,1,0
small,ADJ,37,0,0
cry,VERB,36,0,0
more,ADJ,36,1,0
well,ADV,36,1,0
break,VERB,36,0,0
another,DET,36,1,0
good,ADJ,36,0,0
nothing,PRON,35,1,0
long,ADV,35,0,0
like,VERB,35,0,0
upon,SCONJ,35,1,0
full,ADJ,35,1,0
without,ADP,35,1,0
love,VERB,35,0,0
five,NUM,35,1,0
stop,VERB,34,0,0
York,PROPN,34,0,1
while,SCONJ,34,1,0
Miss,PROPN,34,0,1
each,DET,34,1,0
use,VERB,33,1,0
once,ADV,33,1,0
always,ADV,33,1,0
against,ADP,33,1,0
first,ADJ,33,1,0
table,NOUN,33,0,0
life,NOUN,32,0,0
right,ADV,32,0,0
though,SCONJ,32,1,0
drive,VERB,32,0,0
at,ADV,32,1,0
around,ADV,32,1,0
long,ADJ,32,0,0
Wolfshiem,PROPN,32,0,1
still,ADV,31,1,0
no,INTJ,31,1,0
together,ADV,31,1,0
run,VERB,31,0,0
morning,NOUN,31,0,0
Egg,PROPN,31,0,1
one,NOUN,31,1,0
own,ADJ,31,1,0
foot,NOUN,31,0,0
party,NOUN,31,0,0
new,ADJ,30,0,0
live,VERB,30,0,0
happen,VERB,30,0,0
next,ADJ,30,1,0
meet,VERB,30,0,0
keep,VERB,30,1,0
world,NOUN,29,0,0
garden,NOUN,29,0,0
speak,VERB,29,0,0
anything,PRON,29,1,0
garage,NOUN,29,0,0
himself,PRON,29,1,0
step,NOUN,29,0,0
ever,ADV,28,1,0
remember,VERB,28,0,0
those,DET,28,1,0
every,DET,28,1,0
these,DET,28,1,0
arm,NOUN,28,0,0
our,PRON,28,1,0
great,ADJ,27,0,0
open,VERB,27,0,0
lawn,NOUN,27,0,0
along,ADP,27,1,0
fall,VERB,27,0,0
inquire,VERB,27,0,0
might,AUX,27,1,0
shake,VERB,27,0,0
wife,NOUN,27,0,0
electronic,ADJ,27,0,0
few,ADJ,26,1,0
money,NOUN,26,0,0
across,ADP,26,1,0
friend,NOUN,26,0,0
follow,VERB,26,0,0
four,NUM,26,1,0
mean,VERB,25,0,0
rather,ADV,25,1,0
later,ADV,25,0,0
air,NOUN,25,0,0
buy,VERB,25,0,0
place,NOUN,25,0,0
side,NOUN,25,1,0
hold,VERB,25,0,0
demand,VERB,25,0,0
far,ADV,25,1,0
half,DET,25,0,0
almost,ADV,24,1,0
forget,VERB,24,0,0
everything,PRON,24,1,0
end,NOUN,24,0,0
alone,ADV,24,1,0
bring,VERB,24,0,0
between,ADP,24,1,0
believe,VERB,24,0,0
dress,NOUN,24,0,0
Nick,PROPN,24,0,1
God,PROPN,24,0,1
yes,INTJ,24,0,0
dark,ADJ,24,0,0
Foundation,PROPN,24,0,1
term,NOUN,23,0,0
include,VERB,23,0,0
dog,NOUN,23,0,0
play,VERB,23,0,0
reach,VERB,23,0,0
week,NOUN,23,0,0
marry,VERB,23,0,0
hot,ADJ,23,0,0
understand,VERB,22,0,0
East,PROPN,22,0,1
send,VERB,22,0,0
town,NOUN,22,0,0
road,NOUN,22,0,0
much,ADV,22,1,0
body,NOUN,22,0,0
Buchanan,PROPN,22,0,1
lean,VERB,22,0,0
ought,AUX,22,0,0
answer,VERB,22,0,0
put,VERB,22,1,0
hair,NOUN,22,0,0
Myrtle,PROPN,22,0,1
Michaelis,PROPN,22,0,1
most,ADV,21,1,0
many,ADJ,21,1,0
book,NOUN,21,0,0
suppose,VERB,21,0,0
idea,NOUN,21,0,0
among,ADP,21,1,0
except,SCONJ,21,1,0
laugh,VERB,21,0,0
draw,VERB,21,0,0
throw,VERB,21,0,0
set,VERB,21,0,0
chair,NOUN,21,0,0
beside,ADP,21,1,0
pass,VERB,21,0,0
yellow,ADJ,21,0,0
first,ADV,21,1,0
copy,NOUN,21,0,0
star,VERB,21,0,0
may,AUX,20,1,0
sort,NOUN,20,0,0
tree,NOUN,20,0,0
do,VERB,20,1,0
lie,VERB,20,0,0
big,ADJ,20,0,0
butler,NOUN,20,0,0
fact,NOUN,20,0,0
sound,NOUN,20,0,0
agreement,NOUN,20,0,0
heart,NOUN,19,0,0
business,NOUN,19,0,0
office,NOUN,19,0,0
agree,VERB,19,0,0
summer,NOUN,19,0,0
read,VERB,19,0,0
evening,NOUN,19,0,0
Chicago,PROPN,19,0,1
open,ADJ,19,0,0
nod,VERB,19,0,0
effort,NOUN,19,0,0
ago,ADV,19,0,0
train,NOUN,19,0,0
perhaps,ADV,19,1,0
copyright,NOUN,19,0,0
law,NOUN,18,0,0
itself,PRON,18,1,0
matter,NOUN,18,0,0
arrive,VERB,18,0,0
dozen,NOUN,18,0,0
shoulder,NOUN,18,0,0
inside,ADV,18,0,0
slowly,ADV,18,0,0
rise,VERB,18,0,0
blue,ADJ,18,0,0
several,ADJ,18,1,0
person,NOUN,17,0,0
city,NOUN,17,0,0
bed,NOUN,17,0,0
much,ADJ,17,1,0
front,ADJ,17,1,0
bright,ADJ,17,0,0
coat,NOUN,17,0,0
same,ADJ,17,1,0
whole,ADJ,17,1,0
glance,VERB,17,0,0
as,ADV,17,1,0
somebody,PRON,17,0,0
boy,NOUN,17,0,0
about,ADV,17,1,0
myself,PRON,17,1,0
distribute,VERB,17,0,0
most,ADJ,16,1,0
part,NOUN,16,1,0
high,ADJ,16,0,0
such,ADJ,16,1,0
so,SCONJ,16,1,0
pull,VERB,16,0,0
Island,PROPN,16,0,1
porch,NOUN,16,0,0
change,VERB,16,0,0
expression,NOUN,16,0,0
while,NOUN,16,1,0
stay,VERB,16,0,0
insist,VERB,16,0,0
immediately,ADV,16,0,0
child,NOUN,16,0,0
of,ADV,16,1,0
home,ADV,16,0,0
already,ADV,16,1,0
green,ADJ,16,0,0
rain,NOUN,16,0,0
up,ADV,16,1,0
drive,NOUN,16,0,0
McKee,PROPN,16,0,1
hall,NOUN,16,0,0
pay,VERB,16,0,0
provide,VERB,16,0,0
anyone,PRON,15,1,0
United,PROPN,15,0,1
States,PROPN,15,0,1
least,ADJ,15,1,0
suggest,VERB,15,0,0
certain,ADJ,15,0,0
family,NOUN,15,0,0
month,NOUN,15,0,0
grow,VERB,15,0,0
become,VERB,15,1,0
really,ADV,15,1,0
husband,NOUN,15,0,0
listen,VERB,15,0,0
floor,NOUN,15,0,0
quickly,ADV,15,0,0
low,ADJ,15,0,0
tomorrow,NOUN,15,0,0
glass,NOUN,15,0,0
sun,NOUN,15,0,0
hurry,VERB,15,0,0
explain,VERB,15,0,0
touch,VERB,15,0,0
cold,ADJ,15,0,0
Cody,PROPN,15,0,1
donation,NOUN,15,0,0
realize,VERB,14,0,0
repeat,VERB,14,0,0
beat,VERB,14,0,0
telephone,NOUN,14,0,0
front,NOUN,14,1,0
mouth,NOUN,14,0,0
add,VERB,14,0,0
blow,VERB,14,0,0
picture,NOUN,14,0,0
raise,VERB,14,0,0
corner,NOUN,14,0,0
question,NOUN,14,0,0
finger,NOUN,14,0,0
cool,ADJ,14,0,0
hundred,NUM,14,1,0
bad,ADJ,14,0,0
help,VERB,14,0,0
sure,ADJ,14,0,0
right,ADJ,14,0,0
George,PROPN,14,0,1
smile,VERB,14,0,0
sister,NOUN,14,0,0
Catherine,PROPN,14,0,1
crazy,ADJ,14,0,0
policeman,NOUN,14,0,0
someone,PRON,14,1,0
Oxford,PROPN,14,0,1
heat,NOUN,14,0,0
use,NOUN,13,0,0
hard,ADJ,13,0,0
dream,NOUN,13,0,0
finally,ADV,13,0,0
Long,PROPN,13,0,1
both,DET,13,1,0
pool,NOUN,13,0,0
dinner,NOUN,13,0,0
sight,NOUN,13,0,0
forward,ADV,13,0,0
nice,ADJ,13,0,0
deep,ADJ,13,0,0
grass,NOUN,13,0,0
in,ADV,13,1,0
pale,ADJ,13,0,0
wind,NOUN,13,0,0
remark,VERB,13,0,0
sometimes,ADV,13,1,0
whisper,VERB,13,0,0
nose,NOUN,13,0,0
continue,VERB,13,0,0
show,VERB,13,1,0
anyhow,ADV,13,1,0
course,ADV,13,0,0
lot,NOUN,13,0,0
large,ADJ,13,0,0
change,NOUN,13,0,0
drink,VERB,13,0,0
lunch,NOUN,13,0,0
kill,VERB,13,0,0
trademark,NOUN,13,0,0
paragraph,NOUN,13,0,0
Literary,PROPN,13,0,1
Archive,PROPN,13,0,1
information,NOUN,12,0,0
curious,ADJ,12,0,0
forever,ADV,12,0,0
carry,VERB,12,0,0
warm,ADJ,12,0,0
single,ADJ,12,0,0
should,AUX,12,1,0
story,NOUN,12,0,0
half,ADJ,12,0,0
outside,ADV,12,0,0
shadow,NOUN,12,0,0
short,ADJ,12,0,0
wall,NOUN,12,0,0
catch,VERB,12,0,0
lip,NOUN,12,0,0
kind,NOUN,12,0,0
movement,NOUN,12,0,0
wonder,VERB,12,0,0
somewhere,ADV,12,1,0
watch,VERB,12,0,0
accept,VERB,12,0,0
push,VERB,12,0,0
return,VERB,12,0,0
home,NOUN,12,0,0
ash,NOUN,12,0,0
suit,NOUN,12,0,0
lady,NOUN,12,0,0
laughter,NOUN,12,0,0
invite,VERB,12,0,0
Jay,PROPN,12,0,1
pick,VERB,12,0,0
wire,NOUN,12,0,0
behind,ADP,12,1,0
please,INTJ,12,1,0
phone,NOUN,12,0,0
coupé,NOUN,12,0,0
crowd,NOUN,12,0,0
state,NOUN,12,0,0
fee,NOUN,12,0,0
quality,NOUN,11,0,0
appear,VERB,11,0,0
wild,ADJ,11,0,0
fifty,NUM,11,1,0
no,ADV,11,1,0
breath,NOUN,11,0,0
enormous,ADJ,11,0,0
out,ADV,11,1,0
Sound,PROPN,11,0,1
second,ADJ,11,0,0
war,NOUN,11,0,0
drift,VERB,11,0,0
couch,NOUN,11,0,0
have,VERB,11,0,0
love,NOUN,11,0,0
black,ADJ,11,0,0
asleep,ADJ,11,0,0
beyond,ADP,11,1,0
grey,ADJ,11,0,0
piece,NOUN,11,0,0
street,NOUN,11,0,0
glad,ADJ,11,0,0
flower,NOUN,11,0,0
scene,NOUN,11,0,0
course,NOUN,11,0,0
kiss,VERB,11,0,0
lose,VERB,11,0,0
past,NOUN,11,0,0
real,ADJ,11,0,0
