rank,lemma,pos_variants,total_count,doc_frequency
1,come,NOUN;VERB,3132,18
2,like,ADJ;ADP;INTJ;NOUN;VERB,2956,18
3,know,ADJ;NOUN;VERB,2945,18
4,man,NOUN;VERB,2797,18
5,time,NOUN;VERB,2691,18
6,day,NOUN,2423,18
7,think,NOUN;VERB,2274,18
8,look,NOUN;VERB,2207,18
9,thing,NOUN,1857,18
10,work,NOUN;VERB,1794,18
11,good,ADJ;ADV;INTJ;NOUN,1639,17
12,little,ADJ;ADV;NOUN,1574,18
13,long,ADJ;ADV;NOUN;VERB,1513,18
14,way,ADV;NOUN,1500,18
15,feel,NOUN;VERB,1457,18
16,tell,NOUN;VERB,1394,18
17,year,NOUN,1347,18
18,old,ADJ,1341,18
19,find,NOUN;VERB,1286,17
20,life,NOUN,1226,18
21,hand,NOUN;VERB,1211,18
22,face,NOUN;VERB,1183,17
23,away,ADP;ADV;NOUN,1163,18
24,house,NOUN;VERB,1137,18
25,people,NOUN;VERB,1113,17
26,want,NOUN;VERB,1105,18
27,begin,NOUN;VERB,1098,18
28,mean,ADJ;ADV;NOUN;VERB,1085,17
29,hear,NOUN;VERB,1079,18
30,great,ADJ;ADV,1074,18
31,eye,NOUN;VERB,1027,18
32,word,NOUN;VERB,1010,17
33,leave,NOUN;VERB,997,18
34,kind,ADJ;ADV;NOUN,969,18
35,place,NOUN;VERB,966,17
36,moment,NOUN,955,17
37,turn,NOUN;VERB,952,18
38,stand,ADJ;NOUN;VERB,933,18
39,night,NOUN,919,17
40,girl,NOUN;VERB,911,14
41,half,ADJ;ADV;DET;NOUN,911,17
42,course,ADV;NOUN;VERB,909,18
43,money,NOUN,900,16
44,woman,NOUN,870,16
45,round,ADJ;ADP;ADV;NOUN;VERB,868,18
46,right,ADJ;ADV;INTJ;NOUN;VERB,839,18
47,let,NOUN;VERB,814,17
48,live,ADJ;ADV;VERB,802,17
49,write,NOUN;VERB,801,17
50,talk,ADJ;NOUN;VERB,797,16
51,sit,NOUN;VERB,786,15
52,hour,NOUN,771,17
53,room,NOUN;VERB,769,15
54,happen,NOUN;VERB,761,18
55,head,NOUN;VERB,755,17
56,mind,NOUN;VERB,739,18
57,morning,NOUN,735,18
58,shall,AUX,706,17
59,end,NOUN;VERB,684,18
60,book,NOUN;VERB,671,16
61,read,NOUN;VERB,670,17
62,child,NOUN;VERB,660,17
63,bad,ADJ;ADV,660,18
64,oh,INTJ;NOUN;NUM,654,15
65,boy,INTJ;NOUN,649,15
66,soon,ADJ;ADV,640,18
67,young,ADJ,639,17
68,ask,NOUN;VERB,637,18
69,lie,NOUN;VERB,631,18
70,small,ADJ;ADV;NOUN,631,18
71,speak,NOUN;VERB,623,17
72,world,ADJ;NOUN,621,18
73,walk,NOUN;VERB,619,17
74,home,ADV;NOUN;VERB,617,18
75,try,NOUN;VERB,615,18
76,week,NOUN,614,15
77,water,NOUN;VERB,612,16
78,remember,NOUN;VERB,606,17
79,pay,NOUN;VERB,602,16
80,believe,VERB,595,17
81,door,NOUN,590,15
82,friend,NOUN,584,17
83,foot,NOUN;VERB,582,16
84,bring,NOUN;VERB,581,18
85,light,ADJ;NOUN;VERB,579,17
86,new,ADJ;ADV,574,17
87,voice,NOUN;VERB,571,17
88,open,ADJ;ADP;ADV;NOUN;VERB,564,18
89,war,ADJ;NOUN;VERB,560,16
90,meet,NOUN;VERB,542,17
91,matter,ADJ;ADV;NOUN;VERB,539,18
92,fall,NOUN;VERB,536,18
93,bed,NOUN;VERB,533,15
94,pass,NOUN;VERB,530,17
95,grow,NOUN;VERB,523,18
96,hold,NOUN;VERB,517,16
97,white,ADJ;ADV;NOUN;VERB,509,17
98,set,ADJ;NOUN;VERB,507,18
99,line,NOUN;VERB,506,17
100,run,NOUN;VERB,504,18
101,street,NOUN,504,15
102,arm,NOUN;VERB,500,15
103,love,NOUN;VERB,499,17
104,have,VERB,496,18
105,send,VERB,495,18
106,paper,NOUN;VERB,492,18
107,thought,NOUN,491,18
108,till,ADV;NOUN;SCONJ;VERB,487,16
109,fire,NOUN;VERB,478,17
110,yes,INTJ;NOUN,477,16
111,school,NOUN;VERB,475,15
112,start,NOUN;VERB,473,18
113,past,ADJ;ADP;ADV;NOUN,458,15
114,near,ADJ;ADP;ADV;NOUN;VERB,456,16
115,sleep,NOUN;VERB,453,16
116,appear,VERB,453,16
117,letter,NOUN;VERB,451,14
118,poor,ADJ;NOUN,449,17
119,evening,NOUN,448,14
